# (Qieyun 韻, 聲) -> 平水韻部 and 詞林正韻部. ONE row per cell of
# data/qieyun_mc.tsv; that file is not modified by this one.
#
# WHY TWO STANDARDS IN ONE FILE. 平水韻 (1252) is the standard for 詩;
# 詞林正韻 (戈載, 1821) codifies the practice of 詞, which merges 上 with 去
# inside a 部 and holds the five 入聲 部 apart. They are different answers to
# the same question and quality/phonology/ltc.py makes the choice a declared
# coordinate (doctrine 45), so both have to be on disk to be chosen between.
#
# SOURCE  hulbji/couyun, MIT (LICENSE at repo root, covers the repository),
#         couyun/hanzi/hanzi_class.py: 115 character lists, each tagged with
#         its 聲, its 平水韻部 and its 詞林韻部. Reached by
#         `git clone https://github.com/hulbji/couyun` (data/CHANNELS.md).
#
# DERIVATION  couyun records the 部 per CHARACTER, because that is how both
#         rhyme books are printed. This module's phonology is a rime-book
#         lookup keyed on (韻, 聲), so the partition is compressed onto that
#         key by majority vote over characters that are UNAMBIGUOUS on both
#         sides -- exactly one reading in data/qieyun_mc.tsv, exactly one
#         couyun list, and agreeing on 聲. 12,289 characters vote.
#         The compression is LOSSY and the loss is recorded, not assumed:
#         every row carries the purity of its vote. Rows below 0.95 are the
#         韻 the tradition splits LEXICALLY (泰 by 開合, 佳 between 第五部 and
#         第十部) and a (韻,聲)-keyed table cannot represent that. Doctrine 36
#         one rung further in: the granularity a reference work records is
#         not the granularity a form works at, and that is true of THIS table
#         as much as of the Qieyun.
#         Keying on (韻, 聲, 開合) instead was measured: 0.9897 against 0.9871,
#         for 356 cells instead of 196 and cells with support 3. Rejected by
#         doctrine 61 -- +0.26pp of purity is not worth a rule that fires on
#         evidence that thin.
#
# INDEPENDENCE (doctrine 13)  couyun is a rhyme-lookup tool. Its per-character
#         assignment was written with no reference to 花間集, to the 欽定詞譜
#         alignment this partition is scored against, or to anything in this
#         repository. It is independent of the corpus it is measured on.
#         What it is NOT independent of: the 欽定詞譜's own 韻 markers were
#         placed by 1715 editors who knew which characters rhymed in 詞
#         practice, and 詞林正韻 (1821) codified that same practice. So a high
#         agreement between them is evidence that the SPEC agrees with the 詞
#         codification rather than the 詩 one -- which is the claim being made
#         -- and not independent evidence that either is correct.
#
# pingshui_bu / cilin_bu are couyun's signed integers, kept verbatim so a row
# can be checked against the source without a decoder: POSITIVE is 平聲,
# NEGATIVE is 上/去 (which is why 上 and 去 of one 部 compare equal under
# 詞林正韻), and cilin_bu 15..19 are the five 入聲 部.
# purity/support describe the cilin vote; ps_purity/ps_support the 平水 vote.
# An empty bu is a cell no clean character voted on: the module REFUSES there
# rather than guessing (quality/phonology/__init__.py commitment 2).
rhyme	tone	pingshui_bu	cilin_bu	cilin_name	ps_support	ps_purity	support	purity	readings
微	上	-5	-3	支微齊	25	1.0000	25	1.0000	69
微	去	-5	-3	支微齊	61	0.9839	62	1.0000	130
微	平	5	3	支微齊	84	0.9882	84	0.9882	140
支	上	-4	-3	支微齊	101	0.9619	101	0.9619	292
支	去	-4	-3	支微齊	60	0.9836	61	1.0000	180
支	平	4	3	支微齊	215	0.9954	215	0.9954	502
文	上	-12	-6	真文	11	1.0000	11	1.0000	47
文	入	-5	18	物月曷黠屑葉	37	1.0000	37	1.0000	97
文	去	-13	-6	真文	19	1.0000	19	1.0000	59
文	平	12	6	真文	72	0.9730	73	0.9865	129
東	上	-1	-1	東冬	22	1.0000	22	1.0000	80
東	入	-1	15	屋沃	275	0.9786	278	0.9893	555
東	去	-1	-1	東冬	43	1.0000	43	1.0000	103
東	平	1	1	東冬	201	0.9853	203	0.9951	356
模	上	-7	-4	魚虞	81	1.0000	81	1.0000	143
模	去	-7	-4	魚虞	93	1.0000	93	1.0000	153
模	平	7	4	魚虞	162	0.9878	163	0.9939	282
欣	上	-12	-6	真文	13	1.0000	13	1.0000	30
欣	入	-5	18	物月曷黠屑葉	9	0.8182	10	0.9091	24
欣	去	-13	-6	真文	6	0.8571	6	0.8571	21
欣	平	12	6	真文	14	1.0000	14	1.0000	34
歌	上	-20	-9	歌	69	0.9857	69	0.9857	172
歌	去	-21	-9	歌	28	1.0000	28	1.0000	104
歌	平	20	9	歌	134	0.9640	134	0.9640	286
江	上	-3	-2	江陽	9	1.0000	9	1.0000	20
江	入	-3	16	覺藥	94	0.9400	97	0.9700	226
江	去	-3	-2	江陽	7	1.0000	7	1.0000	22
江	平	3	2	江陽	54	0.9643	54	0.9643	108
泰	去	-9	-5	佳灰	74	0.9867	40	0.5333	166
添	上	-28	-14	覃鹽咸	10	1.0000	10	1.0000	33
添	入	-16	18	物月曷黠屑葉	69	0.9857	69	0.9857	124
添	去	-29	-14	覃鹽咸	8	1.0000	8	1.0000	31
添	平	29	14	覃鹽咸	23	0.9583	24	1.0000	44
清	上	-23	-11	庚青蒸	31	0.9688	32	1.0000	61
清	入	-11	17	質陌錫職緝	101	0.9902	101	0.9902	197
清	去	-24	-11	庚青蒸	15	1.0000	15	1.0000	46
清	平	23	11	庚青蒸	81	1.0000	81	1.0000	137
灰	上	-10	-3	支微齊	46	1.0000	44	0.9565	111
灰	去	-11	-3	支微齊	52	0.9811	52	0.9811	128
灰	平	10	3	支微齊	85	0.9770	85	0.9770	165
痕	上	-13	-6	真文	3	1.0000	3	1.0000	8
痕	入	-6	18	物月曷黠屑葉	1	1.0000	1	1.0000	5
痕	去	-14	-6	真文	4	1.0000	4	1.0000	7
痕	平	13	6	真文	9	1.0000	9	1.0000	15
登	上	-24	-11	庚青蒸	2	1.0000	2	1.0000	6
登	入	-13	17	質陌錫職緝	59	0.9672	59	0.9672	107
登	去	-25	-11	庚青蒸	21	1.0000	21	1.0000	37
登	平	25	11	庚青蒸	46	1.0000	46	1.0000	78
皆	上	-9	-5	佳灰	5	1.0000	5	1.0000	14
皆	去	-10	-5	佳灰	54	1.0000	52	0.9630	106
皆	平	9	5	佳灰	47	0.9792	47	0.9792	89
眞	上	-11	-6	真文	67	0.9571	69	0.9857	168
眞	入	-4	17	質陌錫職緝	208	0.9811	208	0.9811	377
眞	去	-12	-6	真文	100	1.0000	100	1.0000	200
眞	平	11	6	真文	169	0.9883	171	1.0000	364
祭	去	-8	-3	支微齊	110	1.0000	110	1.0000	254
耕	上	-23	-11	庚青蒸	8	1.0000	8	1.0000	15
耕	入	-11	17	質陌錫職緝	94	0.9592	95	0.9694	179
耕	去	-24	-11	庚青蒸	6	1.0000	6	1.0000	10
耕	平	23	11	庚青蒸	80	0.9639	81	0.9759	142
肴	上	-18	-8	蕭肴豪	25	1.0000	25	1.0000	66
肴	去	-19	-8	蕭肴豪	30	1.0000	30	1.0000	93
肴	平	18	8	蕭肴豪	80	0.9877	81	1.0000	177
脂	上	-4	-3	支微齊	62	1.0000	62	1.0000	141
脂	去	-4	-3	支微齊	171	0.9884	173	1.0000	329
脂	平	4	3	支微齊	168	0.9941	169	1.0000	348
臻	入	-4	17	質陌錫職緝	8	1.0000	8	1.0000	13
臻	平	11	6	真文	21	1.0000	21	1.0000	34
蒸	上	-24	-11	庚青蒸	1	1.0000	1	1.0000	8
蒸	入	-13	17	質陌錫職緝	168	0.9941	169	1.0000	269
蒸	去	-25	-11	庚青蒸	14	1.0000	14	1.0000	46
蒸	平	25	11	庚青蒸	53	1.0000	53	1.0000	97
蕭	上	-17	-8	蕭肴豪	44	1.0000	44	1.0000	93
蕭	去	-18	-8	蕭肴豪	26	1.0000	26	1.0000	64
蕭	平	17	8	蕭肴豪	66	0.9851	67	1.0000	144
虞	上	-7	-4	魚虞	75	1.0000	75	1.0000	173
虞	去	-7	-4	魚虞	63	1.0000	63	1.0000	148
虞	平	7	4	魚虞	202	1.0000	202	1.0000	396
覃	上	-27	-14	覃鹽咸	44	0.9778	44	0.9778	119
覃	入	-15	19	合洽	87	0.9886	87	0.9886	167
覃	去	-28	-14	覃鹽咸	17	0.9444	17	0.9444	53
覃	平	28	14	覃鹽咸	47	1.0000	47	1.0000	124
談	上	-27	-14	覃鹽咸	19	1.0000	19	1.0000	52
談	入	-15	19	合洽	57	0.9828	57	0.9828	105
談	去	-28	-14	覃鹽咸	10	1.0000	10	1.0000	46
談	平	28	14	覃鹽咸	33	1.0000	33	1.0000	69
豪	上	-19	-8	蕭肴豪	82	1.0000	82	1.0000	149
豪	去	-20	-8	蕭肴豪	41	1.0000	41	1.0000	122
豪	平	19	8	蕭肴豪	124	0.9688	127	0.9922	222
銜	上	-29	-14	覃鹽咸	5	1.0000	5	1.0000	19
銜	入	-17	19	合洽	26	1.0000	26	1.0000	45
銜	去	-30	-14	覃鹽咸	8	1.0000	8	1.0000	31
銜	平	30	14	覃鹽咸	7	1.0000	7	1.0000	29
鍾	上	-2	-1	東冬	52	1.0000	52	1.0000	96
鍾	入	-2	15	屋沃	78	0.9750	80	1.0000	140
鍾	去	-2	-1	東冬	9	0.9000	10	1.0000	41
鍾	平	2	1	東冬	124	0.9841	126	1.0000	234
陽	上	-22	-2	江陽	77	1.0000	77	1.0000	154
陽	入	-10	16	覺藥	91	1.0000	91	1.0000	180
陽	去	-23	-2	江陽	55	1.0000	55	1.0000	140
陽	平	22	2	江陽	177	1.0000	177	1.0000	296
青	上	-24	-11	庚青蒸	35	0.9722	36	1.0000	97
青	入	-12	17	質陌錫職緝	138	0.9650	143	1.0000	256
青	去	-25	-11	庚青蒸	13	1.0000	13	1.0000	50
青	平	24	11	庚青蒸	136	0.9714	138	0.9857	232
魂	上	-13	-6	真文	41	0.9535	41	0.9535	87
魂	入	-6	18	物月曷黠屑葉	93	0.9588	95	0.9794	174
魂	去	-14	-6	真文	26	1.0000	26	1.0000	59
魂	平	13	6	真文	82	0.9762	80	0.9524	157
魚	上	-6	-4	魚虞	94	1.0000	94	1.0000	163
魚	去	-6	-4	魚虞	46	1.0000	46	1.0000	120
魚	平	6	4	魚虞	117	0.9915	117	0.9915	230
鹽	上	-28	-14	覃鹽咸	39	1.0000	39	1.0000	108
鹽	入	-16	18	物月曷黠屑葉	78	0.9873	78	0.9873	164
鹽	去	-29	-14	覃鹽咸	17	1.0000	17	1.0000	52
鹽	平	29	14	覃鹽咸	63	1.0000	63	1.0000	168
麻	上	-21	-10	麻	55	0.9649	55	0.9649	120
麻	去	-22	-10	麻	64	1.0000	64	1.0000	164
麻	平	21	10	麻	136	0.9784	136	0.9784	258
齊	上	-8	-3	支微齊	57	0.9661	59	1.0000	119
齊	去	-8	-3	支微齊	101	0.9902	102	1.0000	254
齊	平	8	3	支微齊	158	0.9814	160	0.9938	334
