a	b	source	count
aallon	ankaran	fin_kanteletar.txt	1
aallon	uros	fin_kalevala.txt	1
aallon	yheksännen	fin_kalevala.txt	1
aallon	ylitse	fin_kalevala.txt	1
aallosta	ajaikse	fin_kalevala.txt	1
aallosta	ellös	fin_kalevala.txt	1
aallosta	uros	fin_kalevala.txt	2
aallosta	yleni	fin_kalevala.txt	1
aallosta	ylenin	fin_kalevala.txt	1
aallosta	ylenit	fin_kalevala.txt	2
aallosta	yletkö	fin_kalevala.txt	1
aallot	ahveniksi	fin_kanteletar.txt	1
aallot	ajavi	fin_kanteletar.txt	1
aallot	ajeli	fin_kalevala.txt	1
aallot	alahalla	fin_kalevala.txt	1
aallot	alusta	fin_kalevala.txt	1
aallot	ankarat	fin_kanteletar_uudempia.txt	1
aallot	armahani	fin_kanteletar.txt	1
aallot	armonani	fin_kalevala.txt	1
aallot	armonani	fin_kanteletar.txt	1
aallot	arvoaisi	fin_kanteletar.txt	1
aallot	on	fin_kanteletar.txt	1
aallot	on	fin_kanteletar_uudempia.txt	1
aallottaren	antelema	fin_kalevala.txt	1
aalto	ajaisi	fin_kalevala.txt	1
aalto	ajavi	fin_kalevala.txt	1
aalto	ajele	fin_kalevala.txt	1
aalto	ajeli	fin_kalevala.txt	6
aalto	altahassa	fin_kalevala.txt	1
aalto	altahassa	fin_kanteletar.txt	1
aalto	ankara	fin_kalevala.txt	1
aalto	ankara	fin_kanteletar.txt	1
aalto	armahan	fin_kanteletar.txt	1
aalto	armahani	fin_kanteletar_uudempia.txt	1
aalto	armonani	fin_kalevala.txt	1
aalto	astiat	fin_kalevala.txt	1
aalto	astiat	fin_kanteletar.txt	1
aalto	asuinsijani	fin_kalevala.txt	1
aalto	auteresta	fin_kalevala.txt	1
aalto	eli	fin_kalevala.txt	1
aalto	eli	fin_kanteletar.txt	1
aalto	ikäni	fin_kanteletar.txt	1
aalto	impeä	fin_kalevala.txt	1
aalto	on	fin_kalevala.txt	1
aaltohon	ajaikse	fin_kalevala.txt	1
aaltoihin	aluen	fin_kalevala.txt	1
aaltoihin	upottaotte	fin_kalevala.txt	1
aaltoinen	on	fin_kanteletar.txt	1
aaltoisemmat	äitin	fin_kanteletar.txt	1
aaltoja	ahto	fin_kalevala.txt	1
aaltoja	aseta	fin_kalevala.txt	2
aaltoja	asettamahan	fin_kalevala.txt	1
aaltoja	asettanunna	fin_kalevala.txt	1
aaltoja	on	fin_kanteletar.txt	1
aaltoja	äiä	fin_kanteletar.txt	1
aaltojen	ahto	fin_kalevala.txt	2
aaltojen	aivan	fin_kalevala.txt	1
aaltojen	ajaite	fin_kalevala.txt	1
aaltojen	ajaksen	fin_kanteletar.txt	1
aaltojen	ajama	fin_kalevala.txt	1
aaltojen	ajella	fin_kalevala.txt	3
aaltojen	ajeltavaksi	fin_kalevala.txt	4
aaltojen	alla	fin_kalevala.txt	2
aaltojen	alle	fin_kalevala.txt	8
aaltojen	alle	fin_kanteletar.txt	4
aaltojen	alta	fin_kalevala.txt	1
aaltojen	armon	fin_kalevala.txt	1
aaltojen	armon	fin_kanteletar.txt	1
aaltojen	asetu	fin_kalevala.txt	1
aaltojen	asua	fin_kalevala.txt	1
aaltojen	elä	fin_kanteletar_uudempia.txt	1
aaltojen	istui	fin_kalevala.txt	1
aaltojen	isäntä	fin_kalevala.txt	1
aaltojen	osata	fin_kanteletar.txt	1
aaltojen	uros	fin_kalevala.txt	3
aaltojen-alainen	akka	fin_kalevala.txt	1
aaltoloita	aavan	fin_kalevala.txt	1
aaltona	ajeli	fin_kanteletar.txt	1
aaltoset	ajaisi	fin_kanteletar.txt	1
aaltoset	ajoivat	fin_kalevala.txt	1
aaltoset	ylenemässä	fin_kanteletar.txt	1
aamu	alkanevi	fin_kalevala.txt	1
aamu	antamahan	fin_kanteletar.txt	1
aamu	armas	fin_kanteletar.txt	1
aamu	armas	fin_kanteletar_uudempia.txt	1
aamu	aurinkoinen	fin_kanteletar.txt	1
aamu	uuen	fin_kanteletar.txt	1
aamuin	eikä	fin_kalevala.txt	1
aamuin	eikä	fin_kanteletar.txt	1
aamuin	ennen	fin_kalevala.txt	1
aamuin	illoin	fin_kalevala.txt	2
aamuin	illoin	fin_kanteletar.txt	1
aamuisiksi	atrioiksi	fin_kalevala.txt	2
aamuisilla	apia	fin_kanteletar.txt	1
aamuisilla	ei	fin_kanteletar.txt	1
aamuistani	apia	fin_kanteletar.txt	1
aamuistani	ei	fin_kanteletar.txt	1
aamujani	apea	fin_kalevala.txt	1
aamujani	ei	fin_kalevala.txt	1
aamuksi	ajavi	fin_kanteletar.txt	1
aamuksi	iso	fin_kanteletar.txt	1
aamulla	ain'	fin_kanteletar.txt	1
aamulla	aivan	fin_kalevala.txt	1
aamulla	aivan	fin_kanteletar.txt	1
aamulla	ani	fin_kalevala.txt	4
aamulla	ani	fin_kanteletar.txt	1
aamulla	astui	fin_kanteletar.txt	1
aamulla	astuin	fin_kanteletar.txt	1
aamulla	on	fin_kanteletar.txt	1
aamulla	ylenemähän	fin_kanteletar.txt	1
aamun	aikasehen	fin_kanteletar.txt	1
aamun	alkeheksi	fin_kalevala.txt	1
aamun	annas	fin_kanteletar.txt	1
aamun	antoi	fin_kalevala.txt	1
aamun	armahaksi	fin_kanteletar.txt	1
aamun	armas	fin_kanteletar.txt	1
aamun	astumilla	fin_kanteletar.txt	2
aamun	atriahan	fin_kalevala.txt	1
aamun	aurinkoinen	fin_kanteletar.txt	1
aamun	illan	fin_kalevala.txt	2
aamun	uuen	fin_kalevala.txt	1
aamun	yhen	fin_kalevala.txt	1
aamuni	ali	fin_kanteletar.txt	1
aamurusko	alta	fin_kalevala.txt	1
aamurusko	armas	fin_kanteletar.txt	1
aamurusko	on	fin_kalevala.txt	1
aamurusko	on	fin_kanteletar.txt	1
aamuseksi	emännältä	fin_kalevala.txt	1
aamusen	ajalla	fin_kanteletar.txt	1
aamusen	yhen	fin_kanteletar.txt	1
aamuseni	apeat	fin_kalevala.txt	1
aamuseni	apiat	fin_kanteletar.txt	1
aamuseni	on	fin_kalevala.txt	1
aamuseni	on	fin_kanteletar.txt	1
aamusilla	aatkelampi	fin_kanteletar.txt	1
aamusilla	aina	fin_kalevala.txt	2
aamusilla	ajatteli	fin_kanteletar.txt	1
aamusilla	alku	fin_kanteletar.txt	1
aamusilla	apia	fin_kanteletar.txt	1
aamusilla	ei	fin_kanteletar.txt	1
aamusilla	elon	fin_kanteletar.txt	1
aamusin	avajamahan	fin_kanteletar.txt	1
aamustaisi	armas	fin_kanteletar.txt	1
aamut	aikaisin	fin_kalevala.txt	1
aamut	aikasehen	fin_kanteletar.txt	1
aamut	aitan	fin_kalevala.txt	1
aamut	aitan	fin_kanteletar.txt	1
aamut	aittoja	fin_kalevala.txt	1
aamut	aittoja	fin_kanteletar.txt	1
aamut	ajattelin	fin_kalevala.txt	1
aamut	armahana	fin_kalevala.txt	1
aamut	availlen	fin_kanteletar.txt	1
aamut	avellen	fin_kalevala.txt	1
aamut	illat	fin_kalevala.txt	1
aamut	illat	fin_kanteletar.txt	1
aamut	itki	fin_kalevala.txt	2
aamut	äitin	fin_kalevala.txt	1
aamuvihkon	antajaista	fin_kalevala.txt	1
aartehia	ahto	fin_kalevala.txt	1
aartehia	aluksella	fin_kalevala.txt	2
aartehia	alustani	fin_kalevala.txt	1
aartehia	alustansa	fin_kalevala.txt	1
aartehiksi	ahtolaisten	fin_kalevala.txt	1
aatkelampi	aina	fin_kanteletar.txt	1
aatkeloitetahan	aina	fin_kanteletar.txt	1
aatkeloittamatta	aina	fin_kanteletar.txt	1
aavistuksen	ahtahille	fin_kanteletar_uudempia.txt	1
aavoilla	ahoilla	fin_kalevala.txt	1
aavoillen	ahoille	fin_kalevala.txt	1
aavoja	ahoja	fin_kalevala.txt	1
aavoja	ajoi	fin_kalevala.txt	1
aavoja	uipi	fin_kalevala.txt	1
aavojen	alle	fin_kalevala.txt	1
adamille	evan	fin_kanteletar_uudempia.txt	1
ah	otan	fin_kanteletar_uudempia.txt	1
aha	aittani	fin_kanteletar.txt	1
aha	elolla	fin_kanteletar.txt	1
ahava	aivot	fin_kalevala.txt	1
ahava	aja	fin_kalevala.txt	1
ahava	ajatustani	fin_kanteletar.txt	1
ahava	alukseheni	fin_kanteletar.txt	1
ahava	alusta	fin_kalevala.txt	1
ahavainen	aunuksehen	fin_kanteletar.txt	1
ahavaisen	akkiloia	fin_kalevala.txt	1
ahavaisen	antelema	fin_kalevala.txt	1
ahavaisen	armotointa	fin_kalevala.txt	1
ahavaisen	armotonta	fin_kanteletar.txt	1
ahavalle	anneksija	fin_kalevala.txt	1
ahavalle	anneksivi	fin_kalevala.txt	1
ahavalle	anneksivi	fin_kanteletar.txt	2
ahavan	ajatus	fin_kanteletar.txt	1
ahavan	ajeloteiltä	fin_kalevala.txt	1
ahavan	ajeltaviksi	fin_kalevala.txt	1
ahavan	ajeltaviksi	fin_kanteletar.txt	1
ahavan	arvoamahan	fin_kanteletar.txt	1
ahavan	arvoamassa	fin_kanteletar.txt	1
ahavan	astuos	fin_kalevala.txt	1
ahavat	ainoiset	fin_kanteletar.txt	1
ahilla	ainikki	fin_kalevala.txt	1
ahille	avuksi	fin_kalevala.txt	3
ahin	ei	fin_kalevala.txt	1
ahin	en	fin_kalevala.txt	1
ahinki	aikoi	fin_kalevala.txt	1
ahiohon	ajetahan	fin_kanteletar.txt	1
ahjoa	alasintana	fin_kalevala.txt	1
ahjoa	asetti	fin_kalevala.txt	1
ahjohon	ajeli	fin_kalevala.txt	1
ahjohon	ajoi	fin_kalevala.txt	1
ahjohon	asettelisin	fin_kalevala.txt	1
ahjohon	asetti	fin_kalevala.txt	1
ahjoksehen	ajetahan	fin_kalevala.txt	1
ahjoksensa	alle	fin_kalevala.txt	1
ahjolla	alasimella	fin_kalevala.txt	2
ahjollen	alusta	fin_kalevala.txt	1
ahjollen	etsi	fin_kalevala.txt	1
ahjon	alle	fin_kalevala.txt	3
ahjon	alta	fin_kalevala.txt	1
ahjon	ilmarisen	fin_kalevala.txt	3
ahjona	ajeli	fin_kalevala.txt	1
ahjoni	ajelen	fin_kalevala.txt	1
ahjoni	alla	fin_kanteletar.txt	1
ahjoni	alle	fin_kalevala.txt	1
ahjonsa	ajavi	fin_kalevala.txt	1
ahjonsa	ajeli	fin_kalevala.txt	1
ahjonsa	alaista	fin_kalevala.txt	5
ahjonsa	alle	fin_kalevala.txt	2
ahjonsa	alusta	fin_kalevala.txt	3
ahjonsa	asetti	fin_kalevala.txt	1
ahjosta	ajaikse	fin_kalevala.txt	6
ahjosta	alasimelle	fin_kalevala.txt	1
ahjosta	otettaessa	fin_kalevala.txt	1
ahjosta	uuhi	fin_kalevala.txt	1
ahkioksi	anoppisi	fin_kalevala.txt	1
ahkioksi	appi	fin_kanteletar.txt	1
ahkiossa	aina	fin_kalevala.txt	1
ahmissähän	äiän	fin_kanteletar.txt	1
ahmo	aivan	fin_kanteletar.txt	1
aho	armahin	fin_kalevala.txt	1
ahoa	asteli	fin_kalevala.txt	1
ahoa	astuessansa	fin_kalevala.txt	1
ahoa	astuos	fin_kalevala.txt	1
ahoa	astuvi	fin_kalevala.txt	1
ahoilla	aina	fin_kalevala.txt	1
ahoilla	ajelemassa	fin_kalevala.txt	1
ahoilla	ammoin	fin_kalevala.txt	2
ahoilla	ammoin	fin_kanteletar.txt	4
ahoilla	aukeilla	fin_kanteletar.txt	1
ahoilla	ei	fin_kalevala.txt	1
ahoilla	ei	fin_kanteletar.txt	1
ahoilla	ison	fin_kalevala.txt	1
ahoilla	yksillä	fin_kalevala.txt	1
ahoilla	ääntävän	fin_kanteletar.txt	1
ahoille	auke'immille	fin_kalevala.txt	1
ahoille	aukeimmille	fin_kanteletar.txt	2
ahoilta	ajoi	fin_kanteletar.txt	1
ahoja	ajelijalla	fin_kanteletar.txt	1
ahoja	ajoi	fin_kalevala.txt	2
ahoja	ajoi	fin_kanteletar.txt	1
ahoja	astelin	fin_kanteletar.txt	1
ahoja	astu	fin_kalevala.txt	1
ahoja	astuessani	fin_kanteletar.txt	1
ahoja	astui	fin_kalevala.txt	1
ahoja	astuin	fin_kanteletar.txt	1
ahoja	astunko	fin_kanteletar.txt	1
ahoja	auhtoja	fin_kalevala.txt	1
ahoja	aukkoja	fin_kalevala.txt	1
ahoja	orava	fin_kanteletar.txt	1
ahokoivun	armautta	fin_kanteletar.txt	1
ahokoivut	armahaksi	fin_kanteletar.txt	1
aholinnun	armautta	fin_kanteletar.txt	1
aholla	alastomalla	fin_kanteletar.txt	1
aholla	armoa	fin_kanteletar_uudempia.txt	1
aholla	astahti	fin_kalevala.txt	1
aholla	astuessansa	fin_kalevala.txt	1
aholla	astunut	fin_kanteletar.txt	1
aholla	aumoja	fin_kalevala.txt	2
aholla	en	fin_kanteletar_uudempia.txt	1
aholla	ilona	fin_kanteletar_uudempia.txt	1
aholla	immikkö	fin_kalevala.txt	1
aholla	immikkö	fin_kanteletar.txt	5
aholla	istui	fin_kalevala.txt	1
aholla	istuin	fin_kanteletar_uudempia.txt	1
aholla	itki	fin_kanteletar.txt	5
aholla	on	fin_kanteletar.txt	1
aholle	ajat	fin_kanteletar.txt	1
aholle	antajat	fin_kalevala.txt	1
aholle	armahat	fin_kanteletar.txt	1
ahollen	ylenevälle	fin_kalevala.txt	1
aholoista	arpa	fin_kalevala.txt	1
aholta	ajoharakan	fin_kanteletar.txt	1
ahomailta	auke'ilta	fin_kalevala.txt	1
ahomaita	aukehia	fin_kanteletar.txt	1
ahon	ainokaista	fin_kalevala.txt	2
ahoset	astumattani	fin_kalevala.txt	1
ahoset	isot	fin_kanteletar.txt	1
ahoset	itähän	fin_kanteletar.txt	1
ahosi	armahat	fin_kalevala.txt	1
ahosi	armahat	fin_kanteletar.txt	1
ahosilla	istuttiin	fin_kanteletar_uudempia.txt	1
ahosta	astuinpa	fin_kalevala.txt	1
ahot	ainoista	fin_kalevala.txt	2
ahot	ainoista	fin_kanteletar.txt	1
ahot	antajia	fin_kalevala.txt	1
ahot	armahat	fin_kanteletar.txt	1
ahot	armotuutta	fin_kalevala.txt	1
ahot	armotuutta	fin_kanteletar.txt	1
ahot	asua	fin_kalevala.txt	2
ahot	asua	fin_kanteletar.txt	2
ahot	iloa	fin_kalevala.txt	2
ahot	iloa	fin_kanteletar.txt	1
ahovieret	aittamaina	fin_kalevala.txt	1
ahovieret	aittamaina	fin_kanteletar.txt	1
ahovieret	armahaksi	fin_kalevala.txt	1
ahovieret	aukiavi	fin_kanteletar.txt	1
ahoviertä	astumahan	fin_kalevala.txt	1
ahoviertä	astuvoitsen	fin_kanteletar.txt	1
ahtaeltu	aitta	fin_kalevala.txt	1
ahtahassa	asunnossa	fin_kalevala.txt	1
ahtahat	asuile	fin_kalevala.txt	1
ahtahilta	asunnoilta	fin_kalevala.txt	1
ahtahimpahan	alahan	fin_kalevala.txt	1
ahtamasta	ansatiensä	fin_kalevala.txt	1
ahti	ahvenin	fin_kalevala.txt	1
ahti	aino	fin_kalevala.txt	3
ahti	aitan	fin_kalevala.txt	1
ahti	armas	fin_kalevala.txt	1
ahti	asuskella	fin_kalevala.txt	1
ahti	asuva	fin_kalevala.txt	1
ahti	asuvi	fin_kalevala.txt	2
ahti	ei	fin_kalevala.txt	1
ahti	itse	fin_kalevala.txt	2
ahti	ohoh	fin_kalevala.txt	3
ahti	oi	fin_kalevala.txt	3
ahti	oli	fin_kalevala.txt	1
ahti	on	fin_kalevala.txt	5
ahti	yhtä	fin_kalevala.txt	1
ahti	yks'	fin_kalevala.txt	1
ahti	yleni	fin_kalevala.txt	1
ahtia	aika	fin_kalevala.txt	1
ahtia	on	fin_kalevala.txt	1
ahtiseni	armas	fin_kalevala.txt	1
ahtiseni	ohoh	fin_kalevala.txt	1
ahto	airojasi	fin_kalevala.txt	1
ahto	anna	fin_kalevala.txt	1
ahto	antane	fin_kalevala.txt	1
ahto	aseta	fin_kalevala.txt	1
ahto	isäntä	fin_kalevala.txt	1
ahtola	asuvi	fin_kalevala.txt	3
ahtolan	iki-iloksi	fin_kalevala.txt	1
ahven	aittojansa	fin_kalevala.txt	1
ahven	anneksivi	fin_kanteletar.txt	1
ahven	arka	fin_kalevala.txt	1
ahven	eipä	fin_kalevala.txt	1
ahven	itki	fin_kalevala.txt	1
ahvenehen	ainoseni	fin_kanteletar.txt	1
ahvenehen	armahani	fin_kanteletar.txt	1
ahvenellisihin	elä	fin_kanteletar.txt	1
ahvenen	ajatus	fin_kalevala.txt	1
ahvenen	ajatus	fin_kanteletar.txt	1
ahvenen	alaista	fin_kanteletar.txt	1
ahvenensa	arinoille	fin_kalevala.txt	1
ahvenet	ajattelevat	fin_kalevala.txt	1
ahvenet	alas	fin_kanteletar.txt	1
ahvenettomihin	aivan	fin_kalevala.txt	2
ahvenettomihin	aivan	fin_kanteletar.txt	1
ahvenia	antoi	fin_kanteletar.txt	1
ahvenia	armahani	fin_kanteletar.txt	1
ahvenia	armahansa	fin_kanteletar.txt	1
ahvenia	ihveniä	fin_kalevala.txt	1
ahvenien	armahaksi	fin_kanteletar.txt	1
ahvenin	yleni	fin_kalevala.txt	1
ahvenina	appo	fin_kanteletar.txt	1
ahvenina	emo	fin_kanteletar.txt	1
ahvenmaimasilta	artin	fin_kalevala.txt	1
aiaksella	ajatusta	fin_kanteletar.txt	1
aiaksella	anoppeni	fin_kanteletar.txt	1
aiaksesta	aian	fin_kalevala.txt	1
aiaksia	anoppeni	fin_kanteletar.txt	1
aiaksien	ajatella	fin_kalevala.txt	1
aiaksien	ajatella	fin_kanteletar.txt	1
aiaksiksi	asettelevi	fin_kalevala.txt	1
aiaksista	aian	fin_kanteletar.txt	1
aiallani	anna	fin_kanteletar.txt	1
aialle	ajoime	fin_kanteletar.txt	1
aialle	asetti	fin_kalevala.txt	1
aialle	asetti	fin_kanteletar.txt	1
aialle	on	fin_kanteletar.txt	1
aiallen	asettui	fin_kalevala.txt	1
aialta	ajoharakan	fin_kalevala.txt	1
aialta	ajoharakan	fin_kanteletar.txt	1
aian	ajelko	fin_kalevala.txt	1
aian	ajeltu	fin_kalevala.txt	1
aian	alimainen	fin_kalevala.txt	1
aian	alimaisen	fin_kalevala.txt	1
aian	alimmainen	fin_kanteletar.txt	2
aian	alla	fin_kanteletar.txt	5
aian	alle	fin_kanteletar.txt	1
aian	allit	fin_kanteletar.txt	1
aian	annas	fin_kalevala.txt	1
aian	armas	fin_kanteletar.txt	1
aian	armo	fin_kanteletar.txt	1
aian	astuin	fin_kanteletar.txt	2
aian	aukottoman	fin_kalevala.txt	2
aian	avasi	fin_kalevala.txt	1
aian	on	fin_kanteletar.txt	1
aian	umpinaisen	fin_kalevala.txt	1
aian	yhen	fin_kanteletar.txt	1
aian	yön	fin_kanteletar.txt	1
aiaskommetoksi	aitat	fin_kanteletar.txt	1
aiat	ei	fin_kanteletar.txt	1
aiat	oravaisten	fin_kanteletar.txt	1
aihelen	apua	fin_kalevala.txt	1
aihelen	apua	fin_kanteletar.txt	1
aihelet	apua	fin_kalevala.txt	1
aihelet	apua	fin_kanteletar.txt	2
aihetta	apeutua	fin_kalevala.txt	1
aik'	on	fin_kalevala.txt	1
aika	airo	fin_kanteletar.txt	1
aika	aivan	fin_kanteletar.txt	3
aika	alene	fin_kalevala.txt	1
aika	alene	fin_kanteletar.txt	2
aika	aleni	fin_kanteletar.txt	1
aika	anopin	fin_kanteletar.txt	1
aika	antamahan	fin_kalevala.txt	1
aika	arkena	fin_kanteletar.txt	1
aika	armahampi	fin_kalevala.txt	1
aika	armahampi	fin_kanteletar.txt	1
aika	armas	fin_kanteletar.txt	2
aika	armias	fin_kanteletar_uudempia.txt	1
aika	armon	fin_kalevala.txt	1
aika	arvan	fin_kalevala.txt	1
aika	arvelevi	fin_kanteletar.txt	7
aika	astuessa	fin_kalevala.txt	1
aika	atrioia	fin_kalevala.txt	1
aika	autuuen	fin_kanteletar_uudempia.txt	1
aika	avaimia	fin_kalevala.txt	2
aika	entinen	fin_kanteletar.txt	1
aika	ihana	fin_kanteletar_uudempia.txt	1
aika	ois	fin_kanteletar.txt	1
aika	oisi	fin_kalevala.txt	2
aika	on	fin_kalevala.txt	3
aika	on	fin_kanteletar.txt	4
aika	orjan	fin_kalevala.txt	1
aika	orjoa	fin_kanteletar.txt	1
aika	äsken	fin_kanteletar.txt	1
aika-huomenessa	aivan	fin_kalevala.txt	4
aikaeli	armas	fin_kalevala.txt	1
aikaella	armahampi	fin_kanteletar.txt	1
aikaellakseni	armas	fin_kalevala.txt	2
aikaellaksensa	armas	fin_kalevala.txt	1
aikaellaksesi	armas	fin_kalevala.txt	3
aikahan	aina	fin_kanteletar.txt	2
aikahuomenessa	aivan	fin_kanteletar.txt	1
aikainen	ilonpioksi	fin_kalevala.txt	1
aikaisehen	aina	fin_kalevala.txt	1
aikaisehen	aivan	fin_kanteletar.txt	3
aikaisehen	allittelet	fin_kanteletar.txt	1
aikaisehen	alota	fin_kanteletar.txt	1
aikaisehen	et	fin_kanteletar.txt	1
aikalehmä	aioin	fin_kalevala.txt	1
aikalehmä	ammoi	fin_kalevala.txt	1
aikanani	arvoaisin	fin_kanteletar.txt	1
aikani	ain'	fin_kalevala.txt	1
aikani	aina	fin_kanteletar.txt	1
aikani	elelin	fin_kalevala.txt	1
aikani	elelin	fin_kanteletar.txt	1
aikani	elellyt	fin_kalevala.txt	2
aikani	ikävä	fin_kanteletar_uudempia.txt	1
aikani	olen	fin_kalevala.txt	1
aikani	on	fin_kanteletar.txt	1
aikani	on	fin_kanteletar_uudempia.txt	2
aikaorjaksi	anopin	fin_kalevala.txt	1
aikasehen	aivan	fin_kanteletar.txt	3
aikasehen	alottavi	fin_kanteletar.txt	1
aikasi	anna	fin_kanteletar.txt	1
aikasi	asunut	fin_kalevala.txt	1
aikasi	ilohon	fin_kanteletar.txt	1
aikasin	alottamilla	fin_kanteletar.txt	1
aikasumman	astunnasta	fin_kanteletar.txt	1
aikehessa	armahansa	fin_kalevala.txt	1
aikoa	ajoi	fin_kalevala.txt	1
aikoa	anna	fin_kanteletar.txt	1
aikoa	annas	fin_kanteletar.txt	1
aikoa	armas	fin_kanteletar.txt	1
aikoa	isottomalle	fin_kanteletar.txt	1
aikoa	iässä	fin_kanteletar.txt	1
aikoa	oisi	fin_kanteletar.txt	1
aikoa	oli	fin_kalevala.txt	10
aikoa	oli	fin_kanteletar.txt	2
aikoa	olipa	fin_kalevala.txt	1
aikoani	annitonta	fin_kanteletar.txt	1
aikoinani	annettihin	fin_kanteletar.txt	1
aikoinani	armahampi	fin_kanteletar.txt	1
aikoinani	armas	fin_kanteletar.txt	1
aikoinani	asuttihin	fin_kanteletar.txt	1
aikoinani	ennen	fin_kalevala.txt	1
aikoinani	ennen	fin_kanteletar.txt	7
aikoinani	oli	fin_kanteletar.txt	7
aikoinani	olin	fin_kanteletar.txt	1
aikoinani	olipa	fin_kalevala.txt	1
aikoinansa	arveltihin	fin_kalevala.txt	1
aikoinansa	asuttihin	fin_kanteletar.txt	1
aikoinansa	ennen	fin_kalevala.txt	1
aikoinansa	ennen	fin_kanteletar.txt	2
aikoinansa	oli	fin_kalevala.txt	1
aikoinansa	oli	fin_kanteletar.txt	2
aikoinasi	anta't	fin_kanteletar.txt	1
aikoinasi	et	fin_kanteletar.txt	1
aikoja	aina	fin_kalevala.txt	1
aikoja	eleli	fin_kalevala.txt	1
aikojani	ajattelen	fin_kanteletar.txt	2
aikojani	alemmaksi	fin_kanteletar.txt	1
aikojani	angervoisen	fin_kalevala.txt	1
aikojani	angervoisen	fin_kanteletar.txt	1
aikojansa	elelevi	fin_kalevala.txt	1
aikojansa	ikävystyi	fin_kalevala.txt	1
aikojansa	ouosteli	fin_kalevala.txt	1
aikuesi	asu	fin_kanteletar.txt	1
ailuhia	umpiputken	fin_kalevala.txt	3
aimo	astelevan	fin_kalevala.txt	1
aimo	astuessa	fin_kalevala.txt	2
aimo	astuvaksi	fin_kanteletar.txt	1
ain'	ajattelevi	fin_kalevala.txt	1
ain'	akoilla	fin_kalevala.txt	1
ain'	elellyt	fin_kalevala.txt	1
ain'	eleäksemme	fin_kalevala.txt	1
ain'	eläjä	fin_kalevala.txt	1
ain'	olen	fin_kalevala.txt	1
ain'	oli	fin_kalevala.txt	2
ain'	on	fin_kalevala.txt	2
ain'	on	fin_kanteletar.txt	1
ain'	on	fin_kanteletar_uudempia.txt	1
ain'	yhä	fin_kalevala.txt	2
ain'	yhä	fin_kanteletar_uudempia.txt	1
aina	ainoata	fin_kanteletar_uudempia.txt	1
aina	ajattelimma	fin_kanteletar.txt	1
aina	ajatus	fin_kalevala.txt	1
aina	ajelet	fin_kalevala.txt	1
aina	akkojen	fin_kalevala.txt	1
aina	alla	fin_kalevala.txt	2
aina	alla	fin_kanteletar.txt	1
aina	altis	fin_kanteletar.txt	1
aina	ammutahan	fin_kalevala.txt	1
