term	family	layer	function	attested	gloss	source	same_object_as
Primary module	(form layer)	meta		0	the weight-bearing section of a form	UNCITED	—
Rotation	(form layer)	meta		0	one pass through an ordered referential sequence; the concept, not a form	H-D	—
Secondary module	(form layer)	meta		0	a subordinate section	UNCITED	—
Tight chorus	(form layer)	meta		0	a chorus of tight-knit construction	UNCITED (same ancestry)	—
Coda sign	(form layer)	perform		0	jump-to-coda sign (𝄌)	Grove	"collides with SECTION_FUNCTIONS[""coda""], which is a closing section, not a sign"
Da capo	(form layer)	perform		1 FP (a Bunner song title)	"chart instruction ""from the top""; da capo aria is the derived ternary form"	Grove	two objects, one name
Segno	(form layer)	perform		0	jump-target sign	Grove	—
Additive form	(form layer)	process		0	strands accumulate	UNCITED	inverse of Subtractive
Beat-driven form	(form layer)	process		0	form articulated by rhythmic-layer change	UNCITED	—
Layered form	(form layer)	process		0	form as the entry/exit of simultaneous strands	UNCITED	—
Loop-based form	(form layer)	process		0	whole-piece logic of repeating cells, no fixed span boundaries	UNCITED (lead: Butler 2006, unverified)	—
Subtractive form	(form layer)	process		0	strands are stripped away	UNCITED	↑
Track form	(form layer)	process		0	the recorded track as the formal object rather than the song	UNCITED (lead: Moore, Song Means, unverified)	—
Antecedent	(form layer)	section		"1 FP (Whitman, ""With Antecedents"")"	the opening, non-cadentially-closed phrase	Caplin	half of Period
Consequent	(form layer)	section		5 FP	the answering, cadentially-closed phrase	Caplin	↑
Continuation phrase	(form layer)	section		0	fragments, accelerates, cadences	Caplin	↑; = SRDC's D+C
Presentation phrase	(form layer)	section		0	states and repeats a basic idea	Caplin	half of Sentence; = SRDC's S+R
Vuelta	(form layer)	section		0	the returning portion of a copla/villancico structure	Grove	span inside Copla-estribillo
Cinquillo section	African	device	—	0 files. Clean zero.	"a five-stroke rhythmic CELL, not a section. ""Cinquillo section"" is a category error in the source list."	Carpentier, La música en Cuba (FCE, 1946); Manuel, Caribbean Currents (Temple UP, 1995)	"Bell pattern cycle (fixed cell); and the refusal text is MARK_REFUSED[""RADIF""] verbatim — see §5(6)"
Dundunba	African	form	—	0 files. Clean zero.	"""dance of the strong men""; properly a FAMILY of dozens of related rhythms, not one piece"	Billmeier & Keïta 1999; Charry 2000	Kasa, Kuku — but see §4(b): Dundunba is a family label where those two are individual pieces.
Ewi	African	form	—	0 — 135 files, all FP: likewise 49, Wherewith 40, Lewis 20, Dewi 15, viewing 14.	spoken/chanted Yoruba poetry, esp. the modern literary and broadcast genre	Olatunji 1984	Ijala (sibling genre)
Highlife structure (intro–vamp–horn line–solo–shout)	African	form	—	0 files (highlife). Clean zero.	a pattern OVER sections. Slot-by-slot into the closed set: intro=front_framing, vamp=medial, horn line=instrumental, solo=instrumental, shout=rear_framing.	"Collins, Highlife Time (Anansesem, 1994); Grove Music Online, ""Highlife"" — but the specific five-slot chain as written is the survey's own composite, not a schema I can attribute to either. See §5(a)."	Soukous sebene occupies the same slot the solo does
Ijala	African	form	—	0 — 1 file, FP: inside the Sanskrit compound vikasitasarasijalalitamukhena.	hunters' chant genre with its own chanting style and repertoire	Babalola, The Content and Form of Yoruba Ijala (Clarendon, 1966)	Praise section
Kasa	African	form	—	0 — 8 files, all FP: Finnish kasakka/kasakat/Kasakkojen (Cossack), kasarisella, siikasalmet, takasalvat; Sanskrit lokasamaye.	named harvest rhythm-and-song complex governing a whole performance	Billmeier & Keïta 1999; Charry 2000	—
Kuku	African	form	—	0 — 4 files, all FP, and the best FP in the batch: Finnish Kuku, kuku kultalintu — the cuckoo's call in the Kanteletar (18 caps + 8 lower), plus kukunta, Sukukunnan.	named rhythm-and-song complex, originally a women's dance	Billmeier & Keïta 1999; Charry 2000	Kasa (same layer-object)
Mbaqanga	African	form	—	0 files. Clean zero.	"township jive: cyclic, groove-based, bass ""groaner"" against answering female chorus — i.e. call-and-response is constitutive of the genre"	"Coplan, In Township Tonight! (Longman 1985; 2nd ed. Chicago 2008); Grove Music Online, ""Mbaqanga"""	— (properly a GENRE; see §4(a), the layer set has no genre slot)
Cantor	African	perform	—	0 files. Clean zero.	Nketia's term for the lead singer; the analyst's word, not a tradition's own	Nketia 1974	"Lead; and MARK_REFUSED[""PART""]"
Lead	African	perform	—	0 — 265 files, all FP: lead 304, leads 127, leader 77, plead 73.	the individual who sings the call; a ROLE, not a span	Nketia 1974	"MARK_REFUSED[""PART""] — the repo has already written this refusal: ""a speaker or role attribution … not a section function."""
Bell pattern cycle (time line)	African	process	—	0 files (bell pattern). Clean zero.	the fixed asymmetric cycle struck on iron bell that every other part is phased against; whole-piece temporal logic, not a span	"A.M. Jones, Studies in African Music (OUP, 1959); Kubik, Theory of African Music (Chicago, 2010); Nketia 1974 (""time line"")"	near-neighbour of Cinquillo (both fixed cells); not vamp — see §5(5)
Oriki	African	process	—	0 — 2 files, both FP: Finnish kuorikiskoilta, Luorikiksi.	attributive praise-epithet poetry; accumulative, expandable, no fixed boundary — a mode of composition, not a span	Barber, I Could Speak Until Tomorrow (Edinburgh UP / IAI, 1991); Olatunji, Features of Yoruba Oral Poetry (UPL Ibadan, 1984)	Praise section (this is one of its members)
Break (the drummed cue)	African	section	connective	0 — 933 files, all FP: breaks 803, tiebreak 690 (English staging-header boilerplate about song_regions.tsv, 676 files), break 567. No [BREAK] mark exists.	the drummed signal that starts the ensemble, stops it, and cues changes of passage	Charry, Mande Music (Chicago, 2000); Billmeier & Keïta, A Life for the Djembé (Arun, 1999)	"Vodou kase (same object, two traditions). NOT the English ""break"" — see §3."
Call	African	section	initiating	0 — 485 files, all FP: English verb/noun (call 1044, calls 214, called 185, calling 94). No [CALL] mark exists anywhere in the corpus.	the leading pole of an antiphonal cycle; sung/played by one voice, varies from cycle to cycle	Nketia, The Music of Africa (Norton, 1974), ch. on vocal forms; Garland vol. 1 Africa (ed. Stone, 1998)	relation-partner of Response — see §2. Not a same-object with any repo function.
Chorus (African c-and-r sense)	African	section	goal	0 — 593 files, all eng+cym+whitman, all FP for this sense: the English [CHORUS] mark (290 marks) and the English word. Zero African.	in Nketia's usage the ANSWERING GROUP, and by extension the span it sings	"Nketia 1974 (the ""cantor and chorus"" pair)"	NOT the repo's chorus — homonym trap, see §5(2). Same object as Response.
Praise section	African	section	contrasting	"0 — 221 files, all FP: English praise 790, Praise 158, and 4 in song titles (""PRAISE O' DO'SET"")."	the declaimed praise passage alternating with sung narrative — Mande sataro against donkilo	Finnegan, Oral Literature in Africa (Clarendon, 1970), ch. 5 panegyric; Charry 2000 (donkilo / sataro / kumbengo / birimintingo)	Oriki, Ijala are named instances of what this row generalises
Response	African	section	goal	"0 — 10 files / 15 tokens. 13 are the English noun (""Made passionate response""). 1 is a curl error in a provenance comment (msa_skeat_pantun.txt:53, ""response 403""). 1 is fin_kanteletar.txt:64, a staging-header sentence reading ""call-and-response marked by the source itself"" — prose about the corpus, not corpus."	the answering pole; sung by the group, typically invariant across cycles	"Nketia 1974; Olly Wilson, ""The Significance of the Relationship between Afro-American Music and West African Music,"" The Black Perspective in Music 2/1 (1974)"	"burden — see §5(1). The repo's burden gloss already says ""sung by ALL""."
Sebenza	African	section	medial?	0 files. Clean zero.	"Zulu ""work""; in mbaqanga a shouted exhortation, and/or the driving section it launches"	UNCITED — the Zulu gloss is secure, the structural claim is not	—
Soukous sebene	African	section	goal	0 files (sebene). Clean zero.	the fast guitar-led dance section the slower sung first half exists to arrive at, with shouted animation over it	"Stewart, Rumba on the River (Verso, 2000); Grove Music Online, ""Soukous"""	the solo slot of highlife structure; and it exposes the texture/position conflict in the closed set — §4(c)
Vodou kase	African	section	connective	0 — 10 files, all FP: Finnish poikaseni 17, piikaseni 16, kukkaset 13, pakkasella.	the drummed break that cuts the established rhythm and cues a change; associated with possession onset	Fleurant, Dancing Spirits (Greenwood, 1996); Wilcken, The Drums of Vodou (White Cliffs, 1992)	"Break (the drummed cue) — same object, and kase is literally Kreyòl for ""break""."
bashraf بشرف	Arabic/Turkish	form	—		the Ottoman peşrev in Arabic dress: instrumental prelude genre, four khānāt with taslīm, long usūl	[MW] verified; [Touma]	Same object as Tur. peşrev — a phonetic borrowing of the same name, not a parallel invention
gazel	Arabic/Turkish	form	—		(i) the Ottoman divan ghazal — monorhyme couplets, maṭlaʿ, mahlas; (ii) gazel okumak: the unmetered improvised vocal solo sung on such a text	[EI2] [Grove] [Signell]	"(i) same object as the form behind MARK_REFUSED[""BAYT""] — the 70,866 refused blocks are bayts of this form; and as [repo] S38/S88/S89. (ii) same object as ara mawwāl"
kasîde	Arabic/Turkish	form	—		the monorhyme ode (Ar. qaṣīda); in performance, an unmetered vocal solo on a qaṣīda text	[EI2] [Grove]	Same object as [repo] S38 qaṣīda monorhyme — the repo holds its rhyme facet and not its span facet
muhammes	Arabic/Turkish	form	—		five-line strophic form (Ar. mukhammas); the fifth line carries the returning common rhyme	[EI2] [Grove]	"Same object as [repo] S40 musammaṭ / tasmīṭ (mukhammas is the 5-line musammaṭ). Its returning fifth line is the object SECTION_FUNCTIONS[""refrain""] names"
peşrev	Arabic/Turkish	form	—		instrumental prelude of the fasıl: four hane, each followed by the teslim; named for the makam of hane 1, modulating in hanes 2–4, regaining the principal makam at every teslim	[WP-pesrev] [TMP] verified; [Feldman]	"Same object as bashraf. Name < Pers. pīşrev ""that which goes before"" — an etymology that states the function (front_framing) the form layer cannot hold"
samāʿī سماعي	Arabic/Turkish	form	—		instrumental genre in samāʿī thaqīl (10/8): four khānāt, each followed by the taslīm; 4th khāna in a different usūl	[MW] [TDV] verified	Same object as Tur. saz semâisi — the Arab samāʿī is the Ottoman form in the takht repertory
saz semâisi	Arabic/Turkish	form	—		instrumental genre in aksak semâî (10/8): four hane + teslim, the 4th hane in a contrasting ternary usūl	[TDV] [WP-pesrev] verified	Same object as ara samāʿī
taḥmīla تحميلة	Arabic/Turkish	form	—		instrumental genre alternating a composed ensemble refrain with part-composed / part-improvised episodes passed around the takht in turn	[MW] verified	Same object as jazz head–solos–head and as the Western rondo; and same object as the samāʿī/peşrev refrain-alternation one level up, minus the rotating soloist
waṣla وصلة	Arabic/Turkish	form	—		the suite: eight-or-more items in one maqām performed as one set — dūlāb / samāʿī, taqāsīm, muwashshaḥāt, layālī, mawwāl, closing with a dawr or qaṣīda	[CCE] verified; [Marcus]	Same object as Tur. fasıl and Maghribi nūba. Distinct from every form in the repo's tables: it is a pattern over whole pieces, one level above what form currently means here
qafla قفلة	Arabic/Turkish	phrase	—		the cadential closing formula of a melodic phrase or of a taqsīm section, landing on the qarār; the taqsīm is defined as a sequence of phrases each ending with a qafla	[MW] verified; [IAM]	"DISTINCT at this layer. NOT the same object as SECTION_FUNCTIONS[""turnaround""], which is a section; qafla is strictly below section scale. Its nearest cross-tradition object is the Hindustani cadentia"
aranağme	Arabic/Turkish	section	instrumental		"""in-between melody"": the instrumental passage played between the vocal sections of a şarkı, usually derived from the meyan or nakarat melody"	[TMP] [Signell]	"Same object as repo SECTION_FUNCTIONS[""interlude""] — ""instrumental or spoken span between sung sections"", gloss for gloss. The one refinement the English row lacks: aranağme is normally derived materi"
dūlāb دولاب	Arabic/Turkish	section	front_framing		short composed instrumental overture (~8–16 bars) that opens a waṣla and announces the unifying maqām; may recur between vocal items	[CCE] [MW] verified; [Touma]	"≈ repo SECTION_FUNCTIONS[""intro""] (""may state material that returns later"" is exact). Tur. aranağme is a near-neighbour, not the same object: dūlāb's job is opening + modal announcement, aranağme's is"
farsh فرش	Arabic/Turkish	section	initiating		"recalled as: the lower-register, ground-laying opening portion of a melody or improvisation (""carpet / floor""), against a higher ghiṭāʾ (""cover""); at section scale, the low expository strain that precedes the ascent"	UNCITED	"If the recalled reading holds, same object as zemin (""ground"") — the two are the same metaphor in two languages for the same low expository strain. That coincidence is a reason for suspicion, not conf"
ghuṣn غصن	Arabic/Turkish	section	medial		"pl. aghṣān, ""branches"": the stanza-internal lines of a muwashshaḥ whose rhyme is private to that strophe, alternating with the qufl/simṭ whose rhyme is common to the whole poem"	[repo] S41 (external·named), [EI2]	"Same object as [repo] S41 ""ghuṣn / dawr rhyme"" — the repo holds the rhyme rule and not the span. Same object as Sp. mudanza against vuelta in the zéjel/villancico (a direct descendant), and as Galicia"
hane hâne	Arabic/Turkish	section	medial		"one numbered strain (""house"") of a peşrev / saz semâisi / beste; hane 1 states the makam, later hanes modulate, the last is often in a contrasting usūl"	[WP-pesrev] [TMP] verified; [Feldman]	Same object as ara khāna. Structurally the same object as the repo's Block.index, not as a Block.base — §4
khāna خانة	Arabic/Turkish	section	medial		one numbered non-returning strain of a samāʿī; new material, frequently a new maqām	[MW] verified	"Same object as Tur. hane (same word, Pers. khāna ""house""). See the index problem, §4"
layālī ليالي	Arabic/Turkish	section	front_framing		unmetered vocal improvisation on the fixed formula yā layl, yā ʿayn; the vocal counterpart of taqsīm, opening the singer's segment of the waṣla	[MW] [CCE] verified	DISTINCT: no other tradition in the repo's tables has a framing span whose text is a fixed non-lexical formula. Nearest: R60's non-lexical sub-value (Gaelic vocables C62, hayashi-kotoba X44, Korean 여음
lāzima لازمة	Arabic/Turkish	section	instrumental		short instrumental interlude inside a vocal performance, answering the singer between phrases	[MW] verified (as lazma)	"Cognate but NOT the same object as Ottoman mülâzime (both < Arabic root l-z-m, ""the obligatory one""): the Arabic lāzima is a phrase-scale fill inside a vocal number; the Ottoman mülâzime is a full ret"
mawwāl موّال	Arabic/Turkish	section	initiating		unmetered vocal improvisation on a colloquial strophic poem (also mawwāl), following layālī and preceding the metered dawr/qaṣīda	[MW] [CCE] verified; [Racy]	Tur. gazel (performance sense) is the same object. Term-collision with its own poetic form sense — the PANTUN case (MARK_REFUSED) one tradition over. See (b)
meyan meyân	Arabic/Turkish	section	contrasting		"the third strain of a şarkı / beste (""middle""); the section in which the composer is free to move to the upper register and to other makams, resolving into the nakarat"	[TMP] verified; [Signell]	"Same object as repo SECTION_FUNCTIONS[""bridge""] at the function layer (its alias list already carries middle-eight, departure-section); same object as Hindustani antara. NOT the same object as [""prech"
nakarat	Arabic/Turkish	section	goal		the returning, verbatim, catchy strain of a şarkı; carries the melody from the strong perde to the tonic and makes the full cadence (tam karar)	[TMP] verified; [repo] S122	"Same object as repo SECTION_FUNCTIONS[""refrain""] / [""chorus""] and MARK_FUNCTION[""REFRAIN""]; already named in RHYME_CANON R60 beside refrain · burden · chorus · estribillo · stef · omkvæd. See (c) — th"
taqsīm تقسيم	Arabic/Turkish	section	instrumental		unmetered improvised instrumental solo that exposes a maqām, phrase by phrase, each phrase closed by a qafla; modulates out and resolves home	[MW] [Touma] [Racy] verified	"≈ repo SECTION_FUNCTIONS[""solo""], but not ""over section material"" — it is free and unaccompanied. Tur. taksim is the same object. Hindustani ālāp is the same object at genre level (unmetered modal exp"
taslīm تسليم	Arabic/Turkish	section	goal		the returning strain played after every khāna; unchanging, and returns the piece to the principal maqām	[MW] verified	"Same object as Tur. teslim. Function-identical to repo SECTION_FUNCTIONS[""chorus""] (returns_as=""verbatim""), but wordless"
terennüm	Arabic/Turkish	section	goal		the composed passage sung to non-lexical syllables (ye, le, li, la, ta, ne, dil, dir, ten, ni, also aman, cânım, dost), added after each line/hane of a beste or semâi	[WP-pesrev] [TMP] verified; [Feldman]	Same object as R60's already-declared non-lexical refrain sub-value — Gaelic vocables C62, hayashi-kotoba X44, Korean 여음구 X53. Terennüm is missing from R60's alias line and belongs in it. See (c)
teslim	Arabic/Turkish	section	goal		the unchanging refrain strain closing each hane and restoring the principal makam	[WP-pesrev] [TMP] verified	"Same object as ara taslīm; = repo [""chorus""] by role, [""interlude""] by medium. CONTESTED against mülâzime — see (b)"
zemin	Arabic/Turkish	section	initiating		"the opening strain (""ground"") of a şarkı; states the makam in the low register and typically half-cadences (yarım karar) on the strong perde"	[TMP] verified	"NEAR-MISS, do not merge: the metaphor matches Hindustani sthāyī (""that which abides"", low-register ground strain) but the function does not — the survey files sthāyī under goal, and zemin is not a ret"
Eduppu	Carnatic	device	—		The point in the tāla cycle at which a composition or phrase begins relative to beat 1: sama (on it), anāgata (after it), atīta (before it). Printed in kṛti editions as a property of the piece.	"Nelson, Solkattu Manual; Sambamoorthy, Dictionary, s.v. ""eḍuppu""; Garland vol. 5, Karnatak tāla"	= the repo's Meter.origin / Meter.sam fields (quality/meter.py:145-151, sam: object = None  # emphatic return (Hindustani)). Also = English anacrusis / pickup. It is a metrical coordinate and does not
Korvai	Carnatic	device	—		A cadential rhythmic composition, canonically a phrase stated three times, calculated to land exactly on the eduppu; used to close kalpanaswaram passages and percussion solos.	"Nelson, Solkattu Manual; Nelson, Karnatak tāla article in Garland vol. 5; Sambamoorthy, Dictionary, s.v. ""koṟvai"""	= Hindustani tihāī (also = tīrmānam, the Carnatic near-synonym). A threefold-repetition cadence landing on sam. Repo: no object — the variation ladder has no threefold-repetition kind, and turnaround 
Sangati	Carnatic	device	—		A graded series of melodic variations on one line of a composition, each more elaborate than the last, transmitted as PART of the composed text (canonically in Tyagaraja). The words never change.	"Robert Morris, ""Variation and Process in South Indian Music: Some Kṛtis and Their Saṅgatis,"" Music Theory Spectrum 23/1 (2001); Sambamoorthy, Dictionary, s.v. ""saṅgati"""	Same object as the repo's VARIATION_KINDS ladder — and INVISIBLE to it. compare_returns measures text; sangatis hold text and vary melody, so every sangati would score VERBATIM. See list (c).
Ragam Tanam Pallavi	Carnatic	form	—		"The large concert form: ālāpana → tānam → a single composed pallavi line, then neraval and kalpanaswaram over that line. Its ""pallavi"" is a one-line theme, NOT a kṛti's pallavi section."	"New Grove, ""India,"" §III; Viswanathan & Allen, Music in South India; Robert Morris on pallavi structure; Pesch, glossary"	Same object AT FORM LAYER as the Hindustani ālāp–joḍ–jhālā→bandiś sequence, and as the ordering principle of the Arabic waṣla / Turkish fasıl: unmetered exposition, pulsed exposition, then metered com
Alapana	Carnatic	perform	—		Unmetered, wordless, improvised exposition of a rāga preceding the composition; no tāla, no sāhitya.	"Viswanathan & Allen, Music in South India: The Karnatak Concert Tradition and Beyond (OUP, 2004); New Grove, ""India,"" §III; Sambamoorthy, South Indian Music"	= Hindustani ālāp, and the same object as Arabic taqsīm, Turkish taksim, Persian darāmad: an unmetered modal exposition preceding the metered piece. Layer perform because it has no text a lyric sheet 
Kalpanaswaram	Carnatic	perform	—		Improvised solfège passages in tāla, built in expanding cycles and each landing back on the eduppu of the chosen line.	"Viswanathan & Allen, Music in South India; Sambamoorthy, Dictionary, s.v. ""kalpanā svara""; Nelson, Solkattu Manual (Wesleyan UP, 2008)"	= Hindustani sargam-tān. Wordless improvisation; perform for the same reason as Alapana.
Neraval	Carnatic	perform	—		Improvised melodic re-elaboration of ONE chosen line of the composition's sāhitya, holding the words and their tāla placement fixed while the melody is rebuilt.	"Viswanathan & Allen, Music in South India; Sambamoorthy, Dictionary, s.v. ""niraval""; Garland vol. 5"	= Hindustani bol-banāo / bol-ālāp. Layer perform: it adds no words, so a lyric sheet showing the line shows nothing of the neraval.
Tanam	Carnatic	perform	—		Pulsed but non-metrical improvisation following ālāpana, sung on the syllables ta–nam–ta / ā–nan–da; those syllables are vocables, not sāhitya.	Viswanathan & Allen, Music in South India; Sambamoorthy, South Indian Music; Pesch, glossary	= Hindustani joḍ/jor — the pulsed middle stage between free ālāp and the metered composition. Same object, same position in the sequence.
Tani avartanam	Carnatic	perform	—		The extended solo percussion segment taken by mṛdaṅgam (and upa-pakkavādyam) after the neraval/kalpanaswaram of a concert's main item; improvised, variable length, not part of any composition.	Nelson, Solkattu Manual; Viswanathan & Allen, Music in South India; Garland vol. 5	"Same object as a drum solo; = Hindustani tabla solo segment. Tension with the repo: SECTION_FUNCTIONS declares solo as a section (""an instrumental span over section material""), which would make this a"
Arudi	Carnatic	phrase	—		The fixed point of rhythmic arrival inside an RTP pallavi line, dividing it into pūrvāṅga and uttarāṅga; every improvised return must land on it.	"Sambamoorthy, Dictionary, s.v. ""araḍi/arudi""; Viswanathan & Allen, Music in South India (RTP chapter); Pesch, glossary"	= CAESURA in classical prosody (Greek/Latin tomḗ, Sanskrit yati) — a fixed division point inside a metrical line. The difference is real: a caesura is fixed in the SYLLABLE count, an arudi in the TĀLA
Anupallavi	Carnatic	section	contrasting		"The second section, ""that which follows the pallavi"": ascends into the upper tetrachord / tāra sthāyī, contrasts by register, and returns to the pallavi."	"Sambamoorthy, Dictionary, s.v. ""anupallavi""; Pesch, glossary; Garland Encyclopedia of World Music vol. 5 (South Asia), ed. Arnold, Karnatak forms"	= Hindustani Antarā. Both are the register-ascending second section that returns to the head section. Repo function-object: nearest is prechorus/bridge, neither exact.
Charanam	Carnatic	section	medial		The third and usually longest section, carrying the bulk of the sāhitya and the composer's mudrā (signature); multiple caraṇams recur to one tune with new words, and each returns to the pallavi.	"Sambamoorthy, Dictionary, s.v. ""caraṇam""; New Grove, ""India,"" §III; Pesch, glossary"	NOT the third member of Sthāyī/Antarā — see §Pallavi/Sthāyī. Nearest Hindustani object is dhrupad's ābhog (concluding, signature-bearing), not antarā. Repo function-object: verse / the corpus's [VERSE
Chittaswaram	Carnatic	section	instrumental		A fixed, precomposed passage of solfège syllables (svara-s) with no sāhitya, appended after the anupallavi and/or caraṇam of some kṛtis and leading back to the pallavi.	"Sambamoorthy, Dictionary, s.v. ""ciṭṭasvara""; Pesch, glossary"	"Nearest repo object: interlude (""instrumental or spoken span between sung sections""). Otherwise fairly DISTINCT: a composed, notated, wordless span printed inside a texted song. Hindustani sargam-band"
Madhyamakala sahitya	Carnatic	section	rear_framing		A texted passage set at doubled syllabic density (madhyama kāla) closing an anupallavi and/or caraṇam; Dikshitar's kṛtis carry it as a labelled final segment.	"Sambamoorthy, Dictionary, s.v. ""madhyamakāla sāhitya""; Pesch, glossary; Garland vol. 5"	DISTINCT. It is the only term here whose defining property is TEMPO, not position, content or recurrence — a span named for its speed. Nothing in the repo's 21 functions, and nothing in the global 8, 
Mangalam	Carnatic	section	rear_framing		"The short benedictory (""auspicious"") piece or closing stanza sung at the very end of a concert or composition."	"Sambamoorthy, Dictionary, s.v. ""maṅgalam""; Pesch, glossary; Garland vol. 5"	Same object as the benedictory closing stanza: Sanskrit maṅgalācaraṇa / phalaśruti, the hymn doxology, the ballade envoi. Repo function-object: outro/coda. Layer is contested — see list (b).
Muktayi swaram	Carnatic	section	instrumental		The fixed composed svara passage that concludes the pūrvāṅga (first half) of a tāna varṇam, after the anupallavi; wordless.	"Sambamoorthy, Dictionary, s.v. ""muktāyi svara""; Pesch, glossary; standard varṇam pedagogy"	SAME OBJECT AS Chittaswaram in varṇam usage — the two names are used for one object (the composed wordless svara insert), muktāyi naming its terminating role and ciṭṭa its fixedness. Repo object: inte
