# Characters data/qieyun_mc.tsv cannot read, and WHY. MISSING.md M-2.
# data/qieyun_mc.tsv itself is NOT modified: the CC0 original stays
# byte-identical and re-derivable, and this file sits beside it.
#
# THE MECHANISM, from the upstream source rather than from inference:
# nk2028/qieyun-data's 韻書/廣韻.csv prints 䰟 as the 字頭 of 小韻 483, whose
# 韻目原貌 is 魂. The rhyme group is NAMED 魂 and 魂 is never a headword in it,
# so 477 characters carry 魂 as their label and the character itself cannot be
# looked up. The extraction is faithful; the rime book is keyed on its own
# orthographic norm and a Song lyric is not.
#
# relation -- and this column is the whole point of the file. A refusal rate
# is uninterpretable until its causes are separated (doctrine 79, one layer
# down from the sonnet battery's):
#   異體  a variant of this character IS in the table. Read `target` instead.
#         An INGESTION defect, and it is now fixed.
#   簡化  a 1956 simplified form. `target` is what it simplifies. NOT mapped:
#         M-2 measured that resolving these silently returns a different
#         word's rhyme wherever the reform merged two Middle Chinese words.
#         A refusal, and its cause is the SCRIPT.
#   後起  no 廣韻 headword and no warranted 異體, but present in the
#         平水韻/詞林正韻 tables. A refusal, and it is CORRECT: the rime book
#         does not contain this graph.
#   混同  the character READS -- it is in the table -- but it doubles as the
#         simplification of `target`, so in a simplified text the reading
#         returned may be a different word's. Not a refusal: a hazard, and
#         the reason OpenCC is not the fix (M-2).
#
# WITNESSES for every 異體 row, and the standard is two:
#   PROPOSER  unicode-org/unihan-database, Unicode License v3 (redistribution
#             granted; this notice is the (b) route). kSemanticVariant,
#             kSpecializedSemanticVariant, kZVariant, read in both directions.
#   FILTER    hulbji/couyun (MIT): the pair must share a (聲, 平水韻部,
#             詞林韻部). This is not "these are the same character" -- it is
#             the predicate the module actually needs (doctrine 60):
#             substituting one for the other CANNOT change the verdict
#             ltc.rhymes gives at 平水韻 or 詞林正韻 granularity, because both
#             sit in the same cell of both standards. At RAW Qieyun
#             granularity it warrants nothing, so readings() marks every
#             substituted reading with `via` and rhyme_keys(standard='qieyun')
#             can be told apart from the two grouped standards.
#   Where Unihan proposes two targets that couyun places in different cells,
#   the row is REFUSED rather than resolved by a tie-break (doctrine 66).
#   The 19 pairs MISSING.md M-2 names are entered FIRST, with their named
#   target, so this file can be read against the register entry that motivated
#   it; 11 of the 19 are also proposed mechanically, and every one of the 19
#   is warranted by couyun.
char	relation	target	target_readings	witnesses
仾	異體	低	齊平	Unihan+couyun
伅	後起			no 廣韻 headword; in couyun 平水韻
伇	後起			no 廣韻 headword; in couyun 平水韻
伌	後起			no 廣韻 headword; in couyun 平水韻
伒	後起			no 廣韻 headword; in couyun 平水韻
伓	後起			no 廣韻 headword; in couyun 平水韻
伕	後起			no 廣韻 headword; in couyun 平水韻
伖	後起			no 廣韻 headword; in couyun 平水韻
众	簡化	众眾衆		Unihan kTraditionalVariant
优	簡化	优優		Unihan kTraditionalVariant
伙	簡化	伙夥		Unihan kTraditionalVariant
会	異體	會	泰去	Unihan+couyun
伛	簡化	傴	虞上	Unihan kTraditionalVariant
伜	後起			no 廣韻 headword; in couyun 平水韻
伞	簡化	傘	寒上	Unihan kTraditionalVariant
伟	簡化	偉	微上	Unihan kTraditionalVariant
传	簡化	傳	仙去|仙平	Unihan kTraditionalVariant
伣	簡化	俔	先上|先去	Unihan kTraditionalVariant
伤	簡化	伤傷		Unihan kTraditionalVariant
伥	簡化	倀	庚去|陽平	Unihan kTraditionalVariant
伦	簡化	倫	眞平	Unihan kTraditionalVariant
伧	簡化	傖	庚平	Unihan kTraditionalVariant
伨	後起			no 廣韻 headword; in couyun 平水韻
伪	簡化	偽僞		Unihan kTraditionalVariant
伫	簡化	佇	魚上	Unihan kTraditionalVariant
伮	後起			no 廣韻 headword; in couyun 平水韻
伲	後起			no 廣韻 headword; in couyun 平水韻
伳	後起			no 廣韻 headword; in couyun 平水韻
伵	後起			no 廣韻 headword; in couyun 平水韻
佄	後起			no 廣韻 headword; in couyun 平水韻
体	混同	体體		Unihan kTraditionalVariant
佘	後起			no 廣韻 headword; in couyun 平水韻
余	混同	余餘		Unihan kTraditionalVariant
你	異體	伱	之上	Unihan+couyun
佡	後起			no 廣韻 headword; in couyun 平水韻
佢	後起			no 廣韻 headword; in couyun 平水韻
佣	簡化	佣傭		Unihan kTraditionalVariant
佥	簡化	僉	鹽平	Unihan kTraditionalVariant
佬	後起			no 廣韻 headword; in couyun 平水韻
佭	後起			no 廣韻 headword; in couyun 平水韻
佱	後起			no 廣韻 headword; in couyun 平水韻
佲	後起			no 廣韻 headword; in couyun 平水韻
佷	後起			no 廣韻 headword; in couyun 平水韻
侇	後起			no 廣韻 headword; in couyun 平水韻
侌	後起			no 廣韻 headword; in couyun 平水韻
侓	後起			no 廣韻 headword; in couyun 平水韻
侕	後起			no 廣韻 headword; in couyun 平水韻
侞	後起			no 廣韻 headword; in couyun 平水韻
侟	後起			no 廣韻 headword; in couyun 平水韻
侠	簡化	侠俠		Unihan kTraditionalVariant
価	後起			no 廣韻 headword; in couyun 平水韻
侢	後起			no 廣韻 headword; in couyun 平水韻
侣	異體	侶	魚上	Unihan+couyun
侥	簡化	僥	蕭平	Unihan kTraditionalVariant
侦	簡化	偵	庚去|清去|清平	Unihan kTraditionalVariant
侧	簡化	側	蒸入	Unihan kTraditionalVariant
侨	簡化	僑	宵平	Unihan kTraditionalVariant
侩	簡化	侩儈		Unihan kTraditionalVariant
侪	簡化	儕	皆平	Unihan kTraditionalVariant
侫	後起			no 廣韻 headword; in couyun 平水韻
侬	簡化	儂	冬平	Unihan kTraditionalVariant
侭	後起			no 廣韻 headword; in couyun 平水韻
侰	後起			no 廣韻 headword; in couyun 平水韻
侱	後起			no 廣韻 headword; in couyun 平水韻
侴	後起			no 廣韻 headword; in couyun 平水韻
侼	後起			no 廣韻 headword; in couyun 平水韻
侽	後起			no 廣韻 headword; in couyun 平水韻
侾	後起			no 廣韻 headword; in couyun 平水韻
俀	後起			no 廣韻 headword; in couyun 平水韻
俈	異體	嚳	冬入	Unihan+couyun
俉	後起			no 廣韻 headword; in couyun 平水韻
俐	後起			no 廣韻 headword; in couyun 平水韻
俢	後起			no 廣韻 headword; in couyun 平水韻
俣	簡化	俁	虞上	Unihan kTraditionalVariant
俦	簡化	俦儔		Unihan kTraditionalVariant
俨	簡化	儼	嚴上	Unihan kTraditionalVariant
俩	簡化	倆		Unihan kTraditionalVariant
俪	簡化	儷	齊去	Unihan kTraditionalVariant
俫	簡化	倈	之平	Unihan kTraditionalVariant
俭	簡化	儉	鹽上	Unihan kTraditionalVariant
俲	後起			no 廣韻 headword; in couyun 平水韻
俷	後起			no 廣韻 headword; in couyun 平水韻
俼	後起			no 廣韻 headword; in couyun 平水韻
俽	後起			no 廣韻 headword; in couyun 平水韻
俿	後起			no 廣韻 headword; in couyun 平水韻
倁	後起			no 廣韻 headword; in couyun 平水韻
倂	異體	併	清上|清去|青上	Unihan+couyun
倆	後起			no 廣韻 headword; in couyun 平水韻
倊	後起			no 廣韻 headword; in couyun 平水韻
倎	後起			no 廣韻 headword; in couyun 平水韻
倐	異體	倏	東入	Unihan+couyun
們	後起			no 廣韻 headword; in couyun 平水韻
倘	異體	儻	唐上|唐去	Unihan+couyun
倛	後起			no 廣韻 headword; in couyun 平水韻
借	混同	借藉		Unihan kTraditionalVariant
値	異體	值	之去	Unihan+couyun
倮	後起			no 廣韻 headword; in couyun 平水韻
倴	後起			no 廣韻 headword; in couyun 平水韻
倵	後起			no 廣韻 headword; in couyun 平水韻
倶	後起			no 廣韻 headword; in couyun 平水韻
倸	後起			no 廣韻 headword; in couyun 平水韻
倹	後起			no 廣韻 headword; in couyun 平水韻
债	簡化	債	佳去|耕入	Unihan kTraditionalVariant
倻	後起			no 廣韻 headword; in couyun 平水韻
倾	簡化	傾	清平	Unihan kTraditionalVariant
偀	後起			no 廣韻 headword; in couyun 平水韻
偂	後起			no 廣韻 headword; in couyun 平水韻
偊	異體	踽	虞上	Unihan+couyun
偌	後起			no 廣韻 headword; in couyun 平水韻
偍	後起			no 廣韻 headword; in couyun 平水韻
偖	後起			no 廣韻 headword; in couyun 平水韻
偗	後起			no 廣韻 headword; in couyun 平水韻
做	後起			no 廣韻 headword; in couyun 平水韻
偢	後起			no 廣韻 headword; in couyun 平水韻
偣	後起			no 廣韻 headword; in couyun 平水韻
偦	後起			no 廣韻 headword; in couyun 平水韻
偧	後起			no 廣韻 headword; in couyun 平水韻
偨	後起			no 廣韻 headword; in couyun 平水韻
偬	簡化	偬傯		Unihan kTraditionalVariant
偮	後起			no 廣韻 headword; in couyun 平水韻
偱	後起			no 廣韻 headword; in couyun 平水韻
偸	異體	偷	侯平	Unihan+couyun
偹	後起			no 廣韻 headword; in couyun 平水韻
偺	後起			no 廣韻 headword; in couyun 平水韻
偻	簡化	偻僂		Unihan kTraditionalVariant
偼	後起			no 廣韻 headword; in couyun 平水韻
偽	後起			no 廣韻 headword; in couyun 平水韻
偾	簡化	僨	文去	Unihan kTraditionalVariant
偿	簡化	償	陽去|陽平	Unihan kTraditionalVariant
傇	後起			no 廣韻 headword; in couyun 平水韻
傈	後起			no 廣韻 headword; in couyun 平水韻
傊	後起			no 廣韻 headword; in couyun 平水韻
傐	後起			no 廣韻 headword; in couyun 平水韻
傟	後起			no 廣韻 headword; in couyun 平水韻
傠	後起			no 廣韻 headword; in couyun 平水韻
傡	後起			no 廣韻 headword; in couyun 平水韻
傢	後起			no 廣韻 headword; in couyun 平水韻
傥	簡化	儻	唐上|唐去	Unihan kTraditionalVariant
傧	簡化	儐	眞去|眞平	Unihan kTraditionalVariant
储	簡化	儲	魚平	Unihan kTraditionalVariant
傩	簡化	儺	歌平	Unihan kTraditionalVariant
傫	後起			no 廣韻 headword; in couyun 平水韻
傰	後起			no 廣韻 headword; in couyun 平水韻
傹	後起			no 廣韻 headword; in couyun 平水韻
傼	後起			no 廣韻 headword; in couyun 平水韻
傽	異體	慞	陽平	Unihan+couyun
僃	後起			no 廣韻 headword; in couyun 平水韻
僈	後起			no 廣韻 headword; in couyun 平水韻
僌	後起			no 廣韻 headword; in couyun 平水韻
働	後起			no 廣韻 headword; in couyun 平水韻
僠	後起			no 廣韻 headword; in couyun 平水韻
僡	後起			no 廣韻 headword; in couyun 平水韻
僪	後起			no 廣韻 headword; in couyun 平水韻
僫	後起			no 廣韻 headword; in couyun 平水韻
僱	異體	雇	模上|模去	Unihan+couyun
僴	後起			no 廣韻 headword; in couyun 平水韻
僷	後起			no 廣韻 headword; in couyun 平水韻
僺	後起			no 廣韻 headword; in couyun 平水韻
僼	後起			no 廣韻 headword; in couyun 平水韻
儍	異體	傻	麻上|麻去	Unihan+couyun
儘	異體	盡	眞上	couyun
儙	後起			no 廣韻 headword; in couyun 平水韻
儚	後起			no 廣韻 headword; in couyun 平水韻
儝	後起			no 廣韻 headword; in couyun 平水韻
儞	後起			no 廣韻 headword; in couyun 平水韻
儣	後起			no 廣韻 headword; in couyun 平水韻
儤	後起			no 廣韻 headword; in couyun 平水韻
儧	後起			no 廣韻 headword; in couyun 平水韻
儨	後起			no 廣韻 headword; in couyun 平水韻
儫	後起			no 廣韻 headword; in couyun 平水韻
儬	後起			no 廣韻 headword; in couyun 平水韻
儮	後起			no 廣韻 headword; in couyun 平水韻
儿	簡化	儿兒		Unihan kTraditionalVariant
兊	後起			no 廣韻 headword; in couyun 平水韻
克	混同	克剋		Unihan kTraditionalVariant
兎	異體	兔	模去	Unihan+couyun
兏	後起			no 廣韻 headword; in couyun 平水韻
児	後起			no 廣韻 headword; in couyun 平水韻
兑	異體	兌	泰去	Unihan+couyun
兖	簡化	兗	仙上	Unihan kTraditionalVariant
兘	後起			no 廣韻 headword; in couyun 平水韻
党	簡化	党黨		Unihan kTraditionalVariant
兠	後起			no 廣韻 headword; in couyun 平水韻
兤	後起			no 廣韻 headword; in couyun 平水韻
兦	異體	亡	陽平	Unihan+couyun
兪	異體	俞	尤去|虞平	Unihan+couyun
兰	簡化	蘭	寒平	Unihan kTraditionalVariant
兲	後起			no 廣韻 headword; in couyun 平水韻
关	簡化	關	刪平	Unihan kTraditionalVariant
兴	簡化	興	蒸去|蒸平	Unihan kTraditionalVariant
兹	混同	茲		Unihan kTraditionalVariant
养	簡化	養	陽上|陽去	Unihan kTraditionalVariant
兽	簡化	獸	尤去	Unihan kTraditionalVariant
兿	後起			no 廣韻 headword; in couyun 平水韻
冁	簡化	囅		Unihan kTraditionalVariant
冄	異體	冉	鹽上|鹽平	Unihan+couyun
内	簡化	內内		Unihan kTraditionalVariant
冈	簡化	岡	唐平	Unihan kTraditionalVariant
册	簡化	冊册		Unihan kTraditionalVariant
冏	後起			no 廣韻 headword; in couyun 平水韻
冐	後起			no 廣韻 headword; in couyun 平水韻
冖	後起			no 廣韻 headword; in couyun 平水韻
冗	異體	宂	鍾上	Unihan+couyun
写	簡化	寫	麻上	Unihan kTraditionalVariant
军	簡化	軍	文平	Unihan kTraditionalVariant
农	簡化	農	冬平	Unihan kTraditionalVariant
冝	後起			no 廣韻 headword; in couyun 平水韻
冣	異體	最	泰去	Unihan+couyun
冦	後起			no 廣韻 headword; in couyun 平水韻
冨	後起			no 廣韻 headword; in couyun 平水韻
冩	異體	寫	麻上	Unihan+couyun
冪	異體	羃	青入	Unihan+couyun
冬	混同	冬鼕		Unihan kTraditionalVariant
冭	後起			no 廣韻 headword; in couyun 平水韻
冯	簡化	馮	東平|蒸平	Unihan kTraditionalVariant
冲	異體	沖	東平	Unihan+couyun
决	異體	決	先入	Unihan+couyun
冴	後起			no 廣韻 headword; in couyun 平水韻
况	混同	况況		Unihan kTraditionalVariant
冺	後起			no 廣韻 headword; in couyun 平水韻
冻	簡化	凍	東去|東平	Unihan kTraditionalVariant
冼	後起			no 廣韻 headword; in couyun 平水韻
冾	後起			no 廣韻 headword; in couyun 平水韻
冿	後起			no 廣韻 headword; in couyun 平水韻
净	簡化	凈	耕平	Unihan kTraditionalVariant
凁	後起			no 廣韻 headword; in couyun 平水韻
凂	異體	浼	灰上	Unihan+couyun
凃	後起			no 廣韻 headword; in couyun 平水韻
准	混同	准準		Unihan kTraditionalVariant
凉	混同	凉涼		Unihan kTraditionalVariant
减	異體	減	咸上	Unihan+couyun
凐	後起			no 廣韻 headword; in couyun 平水韻
凑	異體	湊	侯去	Unihan+couyun
凕	後起			no 廣韻 headword; in couyun 平水韻
凖	後起			no 廣韻 headword; in couyun 平水韻
凗	後起			no 廣韻 headword; in couyun 平水韻
凛	簡化	凜	侵上|侵平	Unihan kTraditionalVariant
凞	後起			no 廣韻 headword; in couyun 平水韻
凟	後起			no 廣韻 headword; in couyun 平水韻
几	混同	几幾		Unihan kTraditionalVariant
凢	異體	凡	凡平	Unihan+couyun
凣	異體	凡	凡平	Unihan+couyun
凤	簡化	凤鳳		Unihan kTraditionalVariant
凥	後起			no 廣韻 headword; in couyun 平水韻
処	後起			no 廣韻 headword; in couyun 平水韻
凨	後起			no 廣韻 headword; in couyun 平水韻
凫	簡化	鳧鳬		Unihan kTraditionalVariant
凬	後起			no 廣韻 headword; in couyun 平水韻
凭	混同	凭憑		Unihan kTraditionalVariant
凮	後起			no 廣韻 headword; in couyun 平水韻
凯	簡化	凱	咍上	Unihan kTraditionalVariant
凲	後起			no 廣韻 headword; in couyun 平水韻
凴	異體	憑	蒸平	Unihan+couyun
出	混同	出齣		Unihan kTraditionalVariant
击	簡化	擊	青入	Unihan kTraditionalVariant
凾	異體	函	咸平|覃平	Unihan+couyun
凿	簡化	鑿	唐入|東入	Unihan kTraditionalVariant
刂	後起			no 廣韻 headword; in couyun 平水韻
刄	異體	刃	眞去	Unihan+couyun
刅	後起			no 廣韻 headword; in couyun 平水韻
刉	後起			no 廣韻 headword; in couyun 平水韻
刋	後起			no 廣韻 headword; in couyun 平水韻
刍	簡化	芻	虞平	Unihan kTraditionalVariant
刐	後起			no 廣韻 headword; in couyun 平水韻
划	混同	划劃		Unihan kTraditionalVariant
