idx	name	tradition	witness	basis	self_doubt	source
C3	cynghanedd groes o gyswllt	Welsh	external	named	yes	WebSearch summary of Clywed Cynghanedd gwers 11 / gwers 3 (cs.ox.ac.uk); not verifiable by direct fetch — host egress-blocked
C4	cynghanedd groes o gyswllt ewinog (provection at the seam)	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd gwers 11 (cs.ox.ac.uk)
C5	cynghanedd draws (traws)	Welsh	project	module	no	quality/phonology/cym.py cynghanedd(); standard descriptions
C6	cynghanedd draws fantach	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd gwers 3 (cs.ox.ac.uk)
C7	accentuation classes of croes/traws: cytbwys acennog, cytbwys ddiacen, anghytbwys ddisgynedig (and the ABSENT anghytbwys ddyrchafedig)	Welsh	external	named	no	WebSearch summaries (languageisavirus.com poetry guide; Talk:Cynghanedd; academia.edu 'Poetic correspondence and the cynghanedd meter' which independently reports the absent anghytbwys cell as a harmonic-bounding result)
C8	cynghanedd sain	Welsh	external	named	no	quality/phonology/cym.py _sain(); WebSearch summaries of cy.wikipedia Cynghanedd sain and standard descriptions
C9	cynghanedd sain gadwynog	Welsh	external	named	yes	WebSearch summary of cy.wikipedia Cynghanedd sain (host egress-blocked to direct fetch)
C10	cynghanedd sain lafarog	Welsh	external	named	no	WebSearch summary of cy.wikipedia Cynghanedd sain; the vowel-alliterates-vowel principle corroborated by non.py's Háttatal quotation
C11	cynghanedd sain drosgl	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd gwers 8/9 (cs.ox.ac.uk)
C12	cynghanedd sain ddwbl / sain deirodl	Welsh	external	named	no	names only, from a WebSearch result listing; no definition obtained
C13	cynghanedd lusg	Welsh	project	module	no	quality/phonology/cym.py llusg(); standard descriptions
C14	cynghanedd lusg gudd / lusg gyswllt	Welsh	external	named	yes	WebSearch summary of cy.wikipedia Cynghanedd lusg (unverified example)
C15	cynghanedd lusg wyrdro	Welsh	external	named	yes	WebSearch summary; definition partial and flagged
C16	cynghanedd bengoll	Welsh	external	named	no	WebSearch summary of cy.wikipedia Cynghanedd bengoll
C17	braidd gyffwrdd / egin-gynghanedd	Welsh	external	named	no	WebSearch summary of cy.wikipedia / WICI
C18	goddefiad: n wreiddgoll	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd (cs.ox.ac.uk), Welsh text quoted in the result
C19	goddefiad: n ganolgoll	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd (cs.ox.ac.uk), Welsh text quoted in the result
C20	goddefiad: two consonants answered by one	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd (cs.ox.ac.uk), Welsh text quoted in the result
C21	goddefiad: h is not counted	Welsh	project	memory	yes	unverified — my own knowledge, flagged
C22	odl (prifodl) — Welsh full rhyme	Welsh	unrecorded	appeal	no	standard; corroborated by the fault definitions below
C23	proest — Welsh half rhyme	Welsh	external	named	no	WebSearch summaries (Britannica half-rhyme; goodreads englyn form notes; grandiloquentwretch)
C24	lleddf a thalgron as a vowel-CLASS partition (englyn proest dalgron vs englyn lleddfbroest)	Welsh	external	named	yes	WebSearch summaries; membership flagged uncertain
C25	proest cadwynog / proest cyfnewidiog (scheme-level arrangements)	Welsh	external	named	no	WebSearch summary (goodreads englyn series)
C26	cywydd deuair hirion couplet rhyme (accented against unaccented)	Welsh	unrecorded	appeal	no	standard description of cywydd deuair hirion; corroborated by the Irish parallel
C27	gair cyrch	Welsh	external	named	no	WebSearch summary (englyn descriptions); corroborated by cynghanedd bengoll's surviving licence
C28	englyn cyrch / awdl gywydd cross rhyme	Welsh	external	named	no	WebSearch summary (englyn cyrch / awdl gywydd descriptions)
C29	cymeriad llythrennol	Welsh	external	named	no	WebSearch summary of WICI 'Cymeriad (cynghanedd)'
C30	cymeriad geiriol	Welsh	external	named	no	WebSearch summary of WICI 'Cymeriad (cynghanedd)'
C31	cymeriad cynganeddol	Welsh	external	named	no	WebSearch summary of WICI 'Cymeriad (cynghanedd)'
C32	cymeriad synhwyrol	Welsh	project	memory	yes	standard listing; FLAG: definition from my own knowledge, not verified this session
C33	cyrch-gymeriad (and the awdl's closing return)	Welsh	external	named	no	WebSearch summary of WICI 'Cymeriad (cynghanedd)'
C34	bai: trwm ac ysgafn	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd 'Beiau Gwaharddedig' (cs.ox.ac.uk)
C35	bai: lleddf a thalgron	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd 'Beiau Gwaharddedig' (cs.ox.ac.uk)
C36	bai: rhy debyg	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd 'Beiau Gwaharddedig' (cs.ox.ac.uk)
C37	bai: twyll gynghanedd	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd 'Beiau Gwaharddedig' (cs.ox.ac.uk)
C38	bai: camosodiad	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd 'Beiau Gwaharddedig' (cs.ox.ac.uk)
C39	bai: crych a llyfn	Welsh	external	named	no	WebSearch summary of Clywed Cynghanedd 'Beiau Gwaharddedig' (cs.ox.ac.uk)
C40	bai: proest i'r odl, gorodl, ymsathr odlau (rhyme-hygiene faults)	Welsh	unrecorded	appeal	yes	partially verified — proest i'r odl standard; the other two flagged
C41	Welsh orthographic substrate: the eight digraphs, the elision apostrophe, the gwant	Welsh	project	module	no	quality/phonology/cym.py (primary, in-repo)
C42	comhardadh slán (comharda) — Irish full rhyme	Irish	external	named	yes	WebSearch summaries (dán díreach descriptions; scoilgaeilge.org; stfx.ca bardic metres) — direct fetch of all of them egress-blocked
C43	the Irish consonant-class quotient and the caol/leathan channel	Irish and Scottish Gaelic (classical)	external	named	no	WebSearch summaries citing the six-class list verbatim, twice, from different pages; corroborated by my own knowledge of Murphy, Early Irish Metrics
C44	comhardadh briste — Irish broken rhyme	Irish	project	memory	yes	standard Classical Modern Irish terminology; FLAG: not independently verified this session
C45	amus (amas) — Irish assonance	Irish	external	named	no	WebSearch summary quoting the rule that assonance concerns only stressed vowels 'with no regard to consonants or syllabic length of the word'
C46	uaithne — Irish consonance	Irish	external	named	no	WebSearch summaries (two, disagreeing in strictness); conflict recorded rather than smoothed
C47	uaim — Irish alliteration	Irish	external	named	no	WebSearch summaries (multiple, agreeing on the unstressed-intervener rule); cluster rules corroborated by non.py's declared Germanic rule
C48	aicill (aichill) — Irish end-to-interior rhyme	Irish	external	named	no	WebSearch summaries (rannaigheacht descriptions; Blankenhorn 'Irish Song-Craft' abstract for the mid-line sense)
C49	rinn agus airdrinn — Irish stressed-against-unstressed rhyme	Irish	external	named	no	WebSearch summaries (deibhidhe descriptions; multiple, agreeing)
C50	dúnad — Irish closure	Irish	external	named	no	WebSearch summary (dán díreach requirements; consistent across sources)
C51	conachlonn (conachlann) — Irish chaining	Irish	external	named	no	WebSearch summary; conflation with fidrad freccomail noted in the source and corrected here
C52	fidrad freccomail — Irish linking alliteration between stanzas	Irish	external	named	yes	WebSearch summary; separation flagged as my reading
C53	the séadna line-1 tail link	Irish	external	named	no	WebSearch summary of a séadna description (poetscollective / stfx.ca); FLAG: single-source
C54	amhrán / caoineadh vowel skeleton	Irish (post-classical, 17th c. onward)	external	named	no	my own knowledge of the amhrán metres, partially corroborated by a WebSearch summary of Blankenhorn 'Irish Song-Craft and Metrical Practice Since 1600' reporting mid-line assonance (aicill) plus vertical assonance and end-rhyme creating stanzaic unity
C55	initial mutation as a channel-transforming operation	Irish, Scottish Gaelic, and Welsh	unrecorded	appeal	no	standard Goidelic/Brythonic phonology; the fh/sh and eclipsis-ordering points are the ones a checker gets wrong silently
C56	Goidelic orthographic substrate: digraphs, silent lenition, and the caol-le-caol spelling rule	Irish and Scottish Gaelic	project	module	no	standard Irish orthography; the normalisation hazard is already recorded in CLAUDE.md doctrine 50
C57	classical common Gaelic (dán díreach as practised in Scotland)	Scottish Gaelic (classical)	external	named	no	standard; corroborated by WebSearch results on classical literary Gaelic being shared between Ireland and Scotland
C58	Scottish Gaelic vernacular end assonance (vowel rhyme)	Scottish Gaelic (vernacular)	external	named	no	WebSearch summaries (tonguefire/amyjophilip 'Rhyme in Gaelic'; Blankenhorn 'Verse structure and performance in Scottish Gaelic vernacular poetry' abstract)
C59	Scottish Gaelic strophic metre: the contrasting final line	Scottish Gaelic (vernacular)	external	named	no	WebSearch summary of a description of strophic metre used for clan eulogy and elegy (Matheson/Blankenhorn line of work)
C60	Scottish Gaelic cadence assonance across unequal line types (two-stress vs three-stress)	Scottish Gaelic (vernacular)	external	named	no	WebSearch summary of Blankenhorn, 'Verse structure and performance in Scottish Gaelic vernacular poetry'
C61	internal assonance / aicill in Gaelic song	Scottish Gaelic (vernacular)	external	named	no	WebSearch summaries; FLAG: less well corroborated than the cadence entry above
C62	òran luaidh (waulking song) vocable refrain	Scottish Gaelic (vernacular)	external	named	no	WebSearch summaries (waulking song descriptions; multiple, agreeing)
C63	òran luaidh verse overlap (chaining between verses)	Scottish Gaelic (vernacular)	external	named	no	WebSearch summary of waulking song structure (grokipedia/wikipedia-derived; FLAG: single line of provenance)
C64	sèist (chorus) in Gaelic song	Scottish Gaelic (vernacular)	unrecorded	appeal	no	standard; low risk
G1	skothending	Old Norse (skaldic, dróttkvætt odd lines)	external	named	yes	repo quality/phonology/non.py — quotes Háttatal prose verbatim; corroborated by WebSearch summaries of skaldic.org (host egress-blocked)
G2	aðalhending	Old Norse (skaldic, dróttkvætt even lines)	external	named	no	repo quality/phonology/non.py (Háttatal prose quoted); WebSearch confirms odd=skot / even=aðal distribution
G3	frumhending / viðrhending pairing rule	Old Norse (skaldic)	external	named	no	repo quality/phonology/non.py, quoting Háttatal
G4	oddhending	Old Norse (skaldic)	external	named	no	repo quality/phonology/non.py — Snorri: 'stendr stundum í upphafi orðs, köllum vér þá oddhending'
G5	hluthending	Old Norse (skaldic)	external	named	no	repo quality/phonology/non.py — Snorri: 'stundum í miðju orði, köllum vér þá hluthending'
G6	stuðlar	Old Norse (skaldic and eddic)	external	named	no	repo quality/phonology/non.py, quoting Háttatal prose
G7	höfuðstafr	Old Norse (skaldic and eddic); shared with Old English/Old Saxon/OHG as the head-stave rule	external	named	no	repo quality/phonology/non.py; WebSearch (German Stabreim sources) confirms the same rule for Anvers/Abvers
G8	sk / sp / st cluster stave rule	Germanic shared: Old Norse, Old English (sc sp st), Old High German / Old Saxon	external	named	no	repo quality/phonology/non.py (declared, tested); WebSearch confirms for Old English
G9	hljóðstafr (vowel alliteration) with the 'fegra' preference	Old Norse; shared with Old English, Old Saxon, OHG, and Finnic (independently)	external	named	no	repo quality/phonology/non.py, quoting Háttatal
G10	málfylling licence (stave-ineligible word class)	Old Norse (attested list in Háttatal); parallel to Welsh proclitics and English WEAK_ALWAYS	external	named	no	repo quality/phonology/non.py, quoting Háttatal prose after stanza 1
G11	dunhent	Old Norse (dróttkvætt variant, Háttatal)	external	named	yes	WebSearch 2026-08-10, skaldic.org summaries (host egress-blocked, snippet only)
G12	liðhent	Old Norse (dróttkvætt variant, Háttatal)	external	named	yes	WebSearch 2026-08-10, skaldic.org summaries (snippet only; host blocked)
G13	alhent	Old Norse (dróttkvætt variant, Háttatal)	external	named	no	WebSearch 2026-08-10, skaldic.org summaries
G14	iðurmælt	Old Norse (dróttkvætt variant, Háttatal)	external	named	no	WebSearch 2026-08-10, skaldic.org summary (snippet only)
G15	detthent	Old Norse (dróttkvætt variant, Háttatal)	external	named	yes	WebSearch 2026-08-10, skaldic.org summary (snippet only) — NOT verified against Faulkes
G16	skjálfhent	Old Norse (dróttkvætt variant, Háttatal)	external	named	no	WebSearch 2026-08-10, two skaldic.org summaries that partly disagree
G17	tvískelft	Old Norse (dróttkvætt variant, Háttatal)	external	named	no	WebSearch 2026-08-10, skaldic.org summary
G18	riðhent	Old Norse (dróttkvætt variant, Háttatal)	external	named	yes	name attested via WebSearch; definition NOT obtained
G19	munnvǫrp	Old Norse (dróttkvætt variant, Háttatal)	external	named	no	WebSearch 2026-08-10, skaldic.org summary
G20	hálfhnept	Old Norse (metre, Háttatal / Háttalykill)	external	named	no	WebSearch 2026-08-10, skaldic.org summary
G21	alhnept	Old Norse (metre, Háttatal 78 / Háttalykill)	external	named	no	WebSearch 2026-08-10, skaldic.org summary
G22	runhent	Old Norse (skaldic; Egill's Höfuðlausn; also a rhymed fornyrðislag)	external	named	no	WebSearch 2026-08-10, skaldic.org summaries; repo non.py notes dróttkvætt has NO end rhyme
G23	haðarlag	Old Norse (metre, Háttatal)	external	named	no	WebSearch 2026-08-10, skaldic.org summary
G24	hrynhent	Old Norse (metre; much Christian skaldic verse)	external	named	no	WebSearch 2026-08-10, skaldic.org summaries
G25	tøglag	Old Norse (metre, Háttatal)	external	named	yes	WebSearch 2026-08-10, skaldic.org summary (detail unverified)
G26	stef	Old Norse (skaldic long poem)	external	named	no	WebSearch 2026-08-10, skaldic.org technical-terms summary
G27	klofastef	Old Norse (skaldic long poem)	external	named	no	WebSearch 2026-08-10, skaldic.org technical-terms summary
G28	fornyrðislag stave placement	Old Norse (eddic)	external	named	no	repo quality/phonology/non.py (rule shape); WebSearch for the metre inventory
G29	ljóðaháttr full-line (Vollzeile) alliteration	Old Norse (eddic)	project	memory	yes	standard description of ljóðaháttr; NOT re-verified in this session — flagged
G30	galdralag	Old Norse (eddic)	project	memory	yes	standard description; NOT re-verified this session — flagged
G31	hringhenda (rímur)	Icelandic rímur (post-medieval descendant of the skaldic system)	external	named	yes	WebSearch 2026-08-10, Icelandic bragfræði summaries (primary hosts blocked)
G32	oddhenda (rímur)	Icelandic rímur	external	named	no	WebSearch 2026-08-10, Icelandic bragfræði summaries
G33	samhenda / stafhenda (rímur)	Icelandic rímur	external	named	no	WebSearch 2026-08-10, Icelandic bragfræði summaries
G34	dunhenda (rímur)	Icelandic rímur	unrecorded	appeal	yes	name attested; definition NOT obtained
G35	sléttubönd	Icelandic rímur	external	named	yes	WebSearch 2026-08-10 (Icelandic sources; primary hosts blocked)
G36	Old English alliterative long line (head-stave rule)	Old English (and structurally identical in Old Saxon and OHG)	external	named	no	WebSearch 2026-08-10 (multiple OE-metre summaries); matches the repo's Norse rule shape
G37	double alliteration (a-verse)	Old English / Middle English	external	named	no	WebSearch 2026-08-10
G38	single alliteration	Old English	external	named	no	WebSearch 2026-08-10
G39	crossed alliteration	Old English (rare, marked)	external	named	no	WebSearch 2026-08-10 (OE verse-forms cheat sheet summary)
G40	transverse alliteration	Old English (rare, marked)	external	named	no	WebSearch 2026-08-10
G41	forbidden patterns (aa|aa, xa|xa) and the fourth-lift prohibition	Old English	external	named	no	WebSearch 2026-08-10 (OE verse-forms summaries)
G42	palatal/velar equivalence for c and g	Old English	external	named	no	WebSearch 2026-08-10
G43	extra (ornamental) alliteration on non-structural stresses	Old English (studied by Orchard and others)	external	named	no	WebSearch 2026-08-10 (Cambridge/ORA article summaries)
G44	Old English end rhyme	Old English (marginal but attested)	external	named	no	WebSearch 2026-08-10 (The Rhyming Poem, Exeter Book, 87 lines in rhyming couplets)
G45	Middle English alliterative long line (revival)	Middle English c.1350–1500	external	named	no	WebSearch 2026-08-10
G46	bob and wheel	Middle English (Sir Gawain and the Green Knight)	external	named	no	WebSearch 2026-08-10
G47	Pearl concatenation (link word)	Middle English (Pearl)	external	named	no	WebSearch 2026-08-10
G48	alliterative binomial formula	Germanic shared: English, German, Dutch, Scandinavian	external	named	no	WebSearch 2026-08-10 (German Stabreim sources); standard for English/Dutch
G49	Stabreim (Old High German / Old Saxon)	Old High German (Hildebrandslied, Muspilli) and Old Saxon (Heliand, Genesis)	external	named	no	WebSearch 2026-08-10 (German Stabreim references)
G50	Schwellvers	Old Saxon (Heliand) and Old English	external	named	yes	WebSearch 2026-08-10; detail on OS practice not independently verified
